Tweet,label
 منرجع  ل+ ال+ منتخب  .  حتي  اصدقاء +ي ب+ ال+ ثانوي  ال+ لي  كنت  فكر +هم رمادين  او  حتي  شبيحه  طلعوا  بيكرهوا  ال+ منتخب  و  شمتانين  .  .  ل +ك هال +كم واحد  و+ عامل  جمعور  منين  جي  ?,very_negative
 شو  حلو  انو  رفقاتي  يباركولي  ع  اغاني +ك حب  كتير  فخور +ه في +ك الله  يخليلي  ياك  حب  و  الي  ال+ مزيد  من  ال+ تالق  و  ال+ نجاح  حب  حب,very_positive
 يارب  اطفا  نار  ال+ فتنه  /  انتبهوا  و+ لا  تعيدوا  خطا  ال+ حرب  ال+ عراقيه  ال+ ايرانيه  /  هذه  سياس +ه كلما  تظهر  قوي  في  الم,negative
" تقليد  ال+ اخرين  لا  يعني  ان +ك س+ تحصل  علي  ما  حصلوا  علي +ه ,  ربما  يعجب +ك رزق  غير +ك ف+ تحاول  ان  تكون  مثل +ه و+ الله  مخبء  ل +ك ال+ اجمل  و",positive
 لماذا  تصمت  ال+ كلمات  في  شفتي +ي ل+ ما  كنت  القي +ك .  لماذا  تهرب  ال+ نظرات  من  عين +ي ل+ ما  كنت  القي +ك .  لماذا  كل  شيء  في  حياه +ي يمسي  صور +ه من  دون  معني  حين  اهوي +ك,very_positive
 مقاطع +ه اوبر  و+ كريم  1  انتم  تريدون  و  هم  يريدون  و  الله  فعال  ل+ ما  يريد  اللجاء  الي  الله  و  قل  يا  رب  و  لن  يخيب  ل +ك ضن  ب+ امر +ه ان  شاء  الله,negative
 تحلوا  ب+ ال+ مسءوليه  ال+ وطنيه  !  كفوا  عن  اعطاء +كم ال+ غطاء  و  ال+ اعذار  ل+ اي  عدوان  خارجي  او  لبث  جو  من  ال+ فتن  داخلي +ه عبر  ضيوف  ال+ فتنه  .  .,negative
 و+ الله  ال+ اثنين  غالين  علي  .  ل+ انو  تقريبا  اول  نادين  حبيه +هم .  حتي  بس  روح  ع  سعودي  جبت  تي  شيرت  ال+ هلال  سخر  سخر,positive
 لم  يتبقي  ل+ تنظيم  داعش  ال+ ارهابي  الا  مدين +ه صغير +ه في  اعالي  نهر  ال+ فرات  و+ تحرير +ها لا  يستغرق  الا  ايام  و+ لكن  هناك  ال+ الف  المقا,very_negative
 ولي  ال+ عهد  ال+ سعودي  يتهم  ايران  ب+ شن  عدوان  مباشر  ضد  بلاد +ه .  ال+ سعوديه,negative
" ام +ي ل+ اراي +ني الله  مكرو +ها في +ك ,  ف+ ل+ تتوقف  انفاس +ي قبل  انفاس +ك ,  دون +ك ل+ اقيم +ه ل +ي و+ ل+ احيي +ه .  اطال  الله  في  عمر +ك .  .",positive
 ال+ لبناني  بس  يكون  علي +ه دعوي  ب+ ال+ محكمه  .  ب+ قول  :  نحن  ل +نا ملء  ال+ ثقه  ب+ ال+ قضاء  .  و+ بس  يطلع  ال+ حكم  ل+ غير  صالح +ه .  ب+ قول  :  نحن  ل +نا ملء  ال+ ثقه  ان  ال+ قضاء  مسيس  و+ مسير,negative
 ال+ يابان  .  ـ  جرحت  ال+ هلال  ـ  .  ب  نيشيمورا  .  ـ  حرمت  ال+ هلال  ـ  من  .  ادواردو,negative
 عبد  ال+ قادر  طارق  مهاجم  ال+ شرطه  ل  :  .  لا  خلاف  مع  ال+ برازيلي  باكيتا  و+ رفضت  جميع  ال+ عروض  ال+ محليه  و+ ال+ خارجيه  حبا  ب+ ال+ قيثاره,neutral
 مركز  اسري  فلسطين  ل+ ال+ دراسات  :  تدهور  خطير  طرا  علي  صحه  ال+ اسير  فادي  حامد  رجب  صرصور  23  عاما  من  بلد +ه العيزيه  في  ال+ قدس  ال,negative
 قتل +ها ب+ هدف  ال+ سرقه  ف+ كانت  غله +ه 20  الف  ليره  .  .  منفذ  جريمه  ال+ معاملتين  في  قبض +ه فرع  ال+ معلومات,very_negative
 زوار  لقاء  ال+ اربعاء  ال+ نيابي  :  معلومات  عن  امكان  قيام  ال+ حريري  ب+ زيار +ه سريع +ه ل+ لبنان  يقدم  في +ها استقاله +ه ب+ شكل  رسمي  خلال  الس,neutral
 مدرب  منتخب +نا ب+ اسم  قاسم  يستدعي  مدافع  نادي  ال+ زوراء  كرار  محمد  ل+ صفوف  ال+ منتخب  .,neutral
" @  صباح  ال+ امل  ب+ الله  حب  ,  و  ال+ طمانينه  في  ظل +ه و  ال+ ثقه  ب+ ما  عند +ه ,  و+ ال+ رضي  ب+ ما  كتب +ه اللهم  افتح  ل +نا ابواب  ال+ خير  في  ه",very_positive
 ال+ عبادي  .  اعتماد  افضل  طريق +ه ل+ توزيع  الموازانه  ب+ نسب  عادل +ه ل+ كل  ال+ شعب  عن  طريق  عدد  سكان  كل  محافظ +ه و+ نسب +ه 17  %  ليست  قانون  ثابت  و+ قابل +ه ل+ ال+ تغيير,neutral
 طلعو  ال+ شباب  علي  سعوديه  ال+ سياسيين  وهلاء  اجي  دور  رجال  ال+ دين  .  زمن  ال+ استدعاء  و+ يقولون  بدنا  لبنان  سيد  حره  .  انا  لبناني  بد +ي يكون  في +ه ال+ سيد  .,very_negative
 ال+ كلام  مع  امريكا  و  اسراءيل  اما  بني  سعود  تحت  احتلال +هم لا  حول  ل +هم و  لا  قوه  بس  تنفيذ  اوامر,negative
 كاس  ال+ عالم  بيوحشنا  2  .  ال+ قوه  ال+ قوه  لا  بارك  الله  ب+ ضعف  هذا  جمهور  خط  ال+ نار  لا  تورط  نفس +ك مع +هم .  اتمني  ي,positive
 ه  تذبح +ني و+ الله  خفت  .  .  ي  اخ +ي راي +ي ان  عكايشي  كويس  و+ ال+ عام  قدم  مستوي  لكن  هالسنه  ال+ كل  سيء  .  .,negative
 س+ يذكر +ني قومي  اذا  جد  جد +هم و+ في  .  ال+ ليله  ال+ ظلماء  يفتقد  ال+ بدر  .  و+ الله  نفتقد +ك يا  وصف +ي في  هذه  الصروف  ال+ صعبه,negative
" ""  اسنسيو  خرافي  بكلشي  ال+ يوم  .  ما  عند +ه قتالي +ه ال+ دون  ,  بس  كثير  بيحاول  يقدم  حب  """,very_positive
 كفو  و+ الله  يبارك  في +ك اخ +ي مطنش  و+ كثر  الله  من  امثال +ك و+ جميع +نا ابناء  و+ بنات  ال+ وطن  يد  وحد +ه ب+ خد,positive
 يمكن  اعتبار  ان  اول  ال+ عواصف  ال+ منتظره  ل+ فصل  ال+ شتاء  كانت  عاصف +ه سياسي +ه غير  مسبوق +ه ب+ ال+ شكل  و+ ال+ مضمون  ل+ ما  تحمل  من  غموض  عسي  ا,negative
" مسن  يقول  :  .  عندما +ما كانت  زوجه +ي تنادي +ني ل+ اقرا  ل +ها بعض  ال+ كلمات  ,  اوهمها  ان +ي لا  استطيع  لكي  لا  تشعر  ب+ ان +ها كبرت  وحد +ها .  .  هك",very_positive
" يارب  لا  تقطع  صوت +ها من  ال+ بيت  واعطها  ال+ عمر  ال+ طويل  ,  يا  من  ب+ يد +ه ملكوت  ال+ سماوات  و+ ال+ ارض  احرس  ام +ي ف+ هي  حياه +ي و+ ما  ملكت  .  .",very_positive
 رب  لا  تكسر  ل +ي قلب  و  لا  تصعب  علي  امر  و  لا  تحرك +ني من  تعلقت  ب +هم ال+ روح  و  احفظ  ل +ي عاءله +ي و  احبه +ي و  من  اراد  ال+ خير  ل +ي قلب,very_positive
" مشروع  ل+ دعم  ال+ خبز  في  مدين +ه دوما  ب  ال+ غوطه  ال+ شرقيه  يقدم  5  الاف  ربط +ه خبز  يوميا  في  ظل  ال+ حصار  الذي  يفرض +ه ال+ اسد  ,  ع",positive
 ال+ حياه  اجمل  من  حزن  و  اصدق  من  خيبه  و  اعظم  من  غدر  و  اكبر  من  كذب +ه .  فقط  .  انظر  ل +ها ب  ال+ قلب  الذي  يري  الله  .  و  ثق  ب +ه حتي  ان  ك,positive
" -  لست  وحد +ي ,  .  جالس  ب+ جانبي +ي وجع +ي ,  و+ تلك  ال+ دموع  التي  تحتضن  عينا +ي ,  و  ل +ي قلب  يتالم  و  يبكي  ;  .  انا  لست  وحد +ي ,  ف+ انا  معي  .  .  !  !",very_negative
 ال+ طراونه  يدعو  ربط  ال+ ضريبه  ب+ ال+ خدمات  و+ توفير  فرص  عمل  .  يا  شيخ  ال+ نواب  مشكله +نا ال+ كم  ال+ هاءل  من  ال+ موظفين  الي  ما  ال+ هم  شغل  وبيصرف  علي +هم ال+ شعب,very_negative
" في  طبع  سيء  جدا  انا  بكرهو  والحمدلله  مش  موجود  عند +ي رغم  ان +ه ظاهر +ه عالمي +ه ,  انت  ب+ يكون  مع +ك ال+ غرض  ,  بس  مش  محتاج +ه ,  في  حين  شخ",very_negative
 و+ ان +ك لا  تدري  ب+ اي  عمل  قد  تدخل  ال+ جنه  اكتب  دعاء  -  حكم +ه -  نصيح +ه -  ايه  .  لا  تدري  لربما  يهتدي  احد +هم او  تزرع  ابتسام +ه او  تسعد  قلب  .  .,very_positive
 تحي +ه الي  كل  انسان  ولد  و  يعيش  في  ال+ عالم  ال+ عربي  و  تمكن  من  ال+ احتفاظ  ب+ قدره +ه علي  ال+ تفكير  ال+ مستقل  و+ ال+ ارتقاء  فوق  تخلف  مجتمع +ه .  .  ل +ك من +ي كامل  ال+ احترام,positive
" -  لو  كان  (  نصف  )  مزيج  بين  ال+ ظاهره  و+ زيدان  .  .  ل+ احتفل +نا ب+ ال+ هدف  قبل  ان  يستلم  ال+ كره  ,  و+ لكن  ال+ غباء  يلعب  دور  !",negative
 طربي +ه :  تلقينا  تاكيدات  من  ال+ اميركيين  ان  ال+ قطاع  ال+ مصرفي  غير  مستهدف  ب+ ال+ عقوبات  علي  حزب  الله  طالما  هو  يتقيد  ب+ ال+ اجراءات  ال+ دوليه  ل+ ال+ عمل  ال+ مصرفي,neutral
" تنبي +ه :  حمل +ه حضر  ل+ حسابات  السناب  الشات  ال+ لي  تستخدم  تطبيقات  ال+ طرف  ال+ ثالث  مثل  س+ ناب  بلس  ,  و  س+ ناب  عثمان  نصيح +ه ابتعدو  عن",negative
 اربعينيه  ال+ امام  ال+ حسين  علي +ه ال+ سلام  ?  مسير +ه اصلاح  ال+ امه  ل+ خدم +ه ال+ مبادء  ال+ اساسيه  لقيم  ال+ سماء  في  ال+ ارض  و+ ل+ كل  ال+ انسانيه  ?  خط +ها ابا  ال+ احرار  ?,positive
 ال+ شيخ  ياسر  عوده  صفق  .  ل+ ما  تسمع  كلام +ه و+ كيف  ينتقد  و+ ينور  ال+ سنه  و+ ال+ شيعه  .  تحس  انو  ال+ تنوير  في  طريق +ه لا  محال  في  ذلك  حب,positive
 ال+ مجلس  ال+ سياسي  ال+ اعلي  في  ال+ يمن  :  ال+ مطارات  و+ ال+ موانء  و+ ال+ منافذ  ال+ مهمه  ل+ قوي  ال+ عدوان  س+ تكون  هدفا  مباشرا,neutral
 ال+ اعلامي  نديم  قطيش  يعلن  ان  شبك +ه ال+ اتصالات  ال+ خاصه  ب+ ال+ رءيس  ال+ حريري  تعرضت  ل+ ال+ خرق  مرات  عد +ه و+ ال+ اجهزه  ال+ امنيه  قالت  ل +ه ان  ثمه  شيء  يحاك  ضد +ه,negative
 مجزر +ه سوق  علاف  ب+ سحار  ان  ال+ عالم  اعمي  ابكم  اطرش  لا  يسمع  ما  ل +كم الا  الله  و+ انفس +كم اضربوا +هم احرقوا  .  نفط +هم لا  ترحم  احد  ياتي  ال+ عالم  الي +كم راكع,very_negative
 ال+ سلام  علي +كم .  تحديث  جديد  ل+ نظام  يحمل  ال+ رقم  11.1.1  و+ في +ه تم  حل  مشكل +ه ال+ تصحيح  ال+ تلقاءي  و+ ك+ ذلك  حل  مشكل +ه يا  سيري,positive
" اللهم  غفر  ل +نا ذنوب  حالت  بين +نا و+ بين  ذكر +ك ,  و+ اعفوا  عن  تقصير +نا في  طاعه +ك و+ شكر +ك ,  و+ ادم  علي +نا لزوم  ال+ طريق  الي +ك ,  و+ هب  ل +نا نور  نهتدي  ب +ه الي +ك .",neutral
 عندما +ما تضع  امام +ك حلم  و+ تواجه  بعض  ال+ عقبات  ل+ ال+ وصول  الي  هذا  ال+ حلم  و+ تمضي  ال+ سنوات  ال+ اربع  حتي  تحقق  حلم +ك سوف  تفرح  و+ تستلم  وثيق,very_positive
 كل  ال+ لي  سويه +ه ال+ يوم  ان +ي ذاكرت  موضوع  واحد  من  مواضيع  و+ قررت  اخذ  بري +ك باقي  ال+ يوم  .  ماشاءالله  علي  قوه  ال+ عين  و+ ال+ بجاحه,negative
 6  -  برامج  و+ اجندات  ل+ سب  جميع  صحابه  رسول  الله  صل  الله  علي +ه و+ سلم  7  -  تدمير  منطق +ه ال+ شرق  ال+ اوسط  و,negative
" بعد  تهديد  ايران  ب+ ال+ انسحاب  من  ب+ طول +ه دوري  ابطال  اسيا  ل+ كر +ه ال+ قدم  ,  ال+ اتحاد  ال+ اسيوي  يلغي  قانون  ال+ ملاعب  ال+ محايده  .  .  القا",neutral
 لقد  مات  عمر  و+ مات  صلاح  بل  مات  ال+ اسلام  في  قلوب  خوار +ه مريض +ه جبان +ه .  .  ل+ انمل +ك الا +لا دموع  و+ عذر  و+ دعاء  .  رحما +ك ربي  .,negative
 مفتاح  ال+ نجاح  و+ سلاح +ك في  ال+ حياه  هو  :  .  انا  جايي  من  طرف  فلان  .  اما  قص +ه شهاده  ما  شهاده  .  حاكيني  عالخاص  ل+ قل +ك شو  ب+ تعمل  في +ها,very_negative
 اتقدم  ب+ احر  ال+ تعازي  في  وفاه  ال+ امير  منصور  بن  مقرن  و+ مرافقي +ه ساءلا  الله  ان  يتغمد +هم ب+ رحمه +ه و+ ان  يل +هم ذوي +هم ال+ صبر  و+ ال+ سلوان  انا  ل+ الله  و+ انا  الي +ه راجعون,very_negative
 تقام  عصر  ال+ يوم  علي  ملعب  نادي  ضم +ك مباراه  مهم +ه جد  جد  ب+ ال+ نسبه  ل+ ال+ نادي  و+ اداره +ه و+ جمهور +ه ال+ كريم  .  ال+ فوز  و+ لاشي  غير  ا,positive
" علي  خشب +ه ال+ مسرح  عرض  فريق  من  طلاب  2  بحثا  عن  ال+ مسرح  ,  و+ لقد  شاركوا  زملاء +هم تمثيل  مشاهد  معبر +ه .",neutral
 حفل  توديع  نهايه  وحد +ه ال+ مسكن  ب+ فصل  ال+ مبدعون  في  ال+ روضه  ال+ رابعه  بصبيا  تحت  رعايه  راءد +ه ال+ فصل  ال+ استاذه  /  شذا  ا,neutral
 ل+ هجت +ها في  ال+ كلام  عسول +ه اي  نعم  ما  فهمت  و+ لا  كلم +ه بس  ال+ لهجه  مثل  ال+ مسلسلات  ال+ خليجيه  احب  اتفرج  علي +ها بس  ما  افهم  شيء  بس  ع,positive
 حدث  في  مثل  هذا  ال+ يوم  قبل  سن +ه .  تحرير  مركز  ناحيي +ه ب+ عشيق +ه من  ايدي  ارهابي  داعش  تحيه  ل+ ال+ دماء  ال+ زكيه  التي  ساهمت  ب+ تحرير +ها و+ تحرير  كل  شبر  من  ال+ عراق,positive
 جعجع  رفض  دعوه  بن  سلمان  و+ ال+ عذر  ال+ اعياد  علي  ل+ بواب  و+ س+ تريد  حامل  اذا  بد +كم .  سامي  ال+ جميل  ما  عندو  شي  انا  جربت  ال+ سجن  مر +ه علي  مين  يا  ابن  .  سلمان,negative
" منتخب  فرنسا  حالي  منتخب  جبار  ب+ كل  خانه  تحصلك  نجم  ,  اتوقع  يسوون  شي  ب+ ال+ مونديال  ال+ قادم",very_positive
 مع  ال+ علم  ان +نا في  ال+ صيف  نعي +ني ال+ عجاج  والمبطبات  و+ في  ال+ شتاء  نعي +ني ال+ وحل  والغراز  و+ ال+ طين  .  مع  ان  ال+ مطلب  يسير,negative
 نضغط  ال+ شاشه  و+ حروف +ي تحاكي +ك .  و  ال+ كل  يقرا  .  .  ما  كتبت +ه .  .  و  يفهم  .  :  .  الا  انت  .  .  قل +ي يا  غرور +ك ومعميك  .  خل +ك مع +ه .  .  بكر +ه تعلم  .,negative
" عن  ال+ رضا  (  علي +ه ال+ سلام  )  قال  :  شيعه +نا ال+ مسلمون  ل+ امر +نا ,  ال+ اخذون  ب+ قول +نا ,  ال+ مخالفون  ل+ @@لاعداءنا@@ +نا ,  ف+ من  لم  يكن  ك+ ذلك  ف+ ليس",neutral
 ان  ل+ الله  و+ ان  الي +ه راجعون  .  اللهم  اجر +نا في  مصيبه +نا و+ اخلفنا  خير  من +ه .  اللهم  ابدل +ها دار  خيرا  من  دار +ها .  و+ اهل  خيرا  من  اهل +ها,negative
 وصيه  احدالسلف  :  .  ياب +ني خف  الله  خوفا  .  لو  تري  ان +ك اتيت  ب+ جميع  حسنات  اهل  ال+ ارض  لم  يقبل +ها من +ك .  و+ ارج +ه رجاءي  .  لو  ان +ك اتيت  ب+ جميع  ذنوب  اهل  ال+ ارض  ل+ غفر +ها ل +ك,neutral
" جعجع  :  استغرب  كيف  ان  ال+ حريري  لم  يستقل  قبل  هذا  ال+ تاريخ  ,  ف+ ما  حصل  في  ال+ اشهر  ال+ اخيره  لا  يمكن  ل+ احد  ان  يحترم  نفس +ه ان  يبقي  في  ال+ حكومه",very_negative
" ال+ جميل  :  هدف  ال+ ضراءب  تمويل  حمل +ه ال+ سلطه  ال+ انتخابيه  ,  لا  يريدون  ال+ اصلاح  و+ لا  وقف  ال+ فساد  بل  يريدون  تمويل  ال+ فساد  من  جيوب  ال+ لبنانيين  ضرايب  ب+ ال+ قوه",negative
 منتخب  لبنان  يسجل  هدف +ه ال+ اول  في  ال+ دقيقه  ال+ واحده  و+ ال+ عشرين  علي  منتخب  كوريا  ال+ شماليه  ب+ بطوله  كاس  اسيا  علي  ملعب  بيروت  ال+ بلدي,very_positive
 لي +ه استقال  ال+ حريري  الزعطوط  سعد  ال+ حريري  قدم  استقاله +ه الي  محمد  بن  سلمان  معقول  يا  ناس  ما  بيعرف  مين  رءيس  لبنان,very_negative
 هذا  منتخب  ال+ اقليات  الذي  يعتبر  ان  ال+ موت  فقط  هو  ما  يستحق +ه ال+ اكثريه  كيف  كنت  تءيد  هذا  ال+ فريق  يا  سني  سوري  شكرا  استراليا,negative
 ال+ شرطي  الذي  القي  ال+ قبض  علي  ال+ امير  ال+ وليد  .  سال +ه انت  ال+ وليد  بن  طلال  صاحب  قنوات  روتا +نا ?  .  قال +ه :  اه  .  قال +ه :  من  ال,neutral
 بريطانيا  ارادات  ان  تءسس  في  فلسطين  قاعد +ه ل+ ال+ استعمار  ال+ غربي  و+ وجدت  ان  ال+ صهيونيه  يمكن  ان  تحقق  ل +ها هذا  ال+ هدف  ال+ استراتيجي  .  .  100,neutral
" غادر  ال+ اماكن  التي  تشعر  في +ها ان +ك اثقل  من  ال+ هواء  و+ ان  من  في +ها علي  وشك  ال+ اختناق  بك  ,  غادر  و+ اترك  مسافه  بين +كما ترتاح  في +ها ال+ ذكريات  ال+ جميله",positive
 حتي  لو  خسرنا  .  ال+ مهم  ان +كن رفعتوا  راس +نا قدام  ال+ عالم  كلو  و  ال+ كل  عرف  مين  ال+ منتخب  ال+ سوري  و  مين  نسور  قاسيون  .  نسور  قاسيون  شكر  ال+ كن  علي  هالفرحه  حب,very_positive
 ال+ صحفيه  بولا  اعلنت  خبر  ان +ه تم  قطع  قناه  ال+ مستقبل  و+ ال  ان +هم يعرضون  ال+ مقابله  مع  سعد  ال+ حريري  هذا  تحريض  علي  اهل  الضاح,negative
 ال+ رءيس  القرغيزي  ال+ منتخب  واثق  من  ال+ تسويه  ال+ سريعه  ل+ ال+ مشاكل  مع  كازاخستان  قرغيزستان,positive
 خلصت  من +ها من  الوتس  اب  اجب  علي  الفيس  بوك  ونتطلي  علي  المسنجر  ب+ ال+ اخر  بتحكيلي  انا  مزعجه  صح  لا  و+ الله  بد +ك حرق  عالم  ل+ زق +ه تنهد  حمق,very_negative
 قال  عبد  ال+ رحمن  بن  مهدي  :  .  لولا  ان +ي اكره  ان  يعصي  الله  ل+ تمنيت  الا +لا يبقي  في  هذا  ال+ عصر  احد  الا +لا وقع  في  و+ اغتاب +ني ف+ اي  شيء,neutral
" كن  حذر  ب+ ما  تسمع +ه عن  ال+ مراه  ال+ سعوديه  ال+ عظيمه  ,  ف+ ال+ اشاعات  التي  تاتي  ب+ هدف  التسقيط  و+ ال+ تجريح  اما  من",positive
 الذي  قلب +ه فعل  علي  ال+ بلد  كان  علي +ه عدم  اقحام  نفس +ه ب+ حروب  ال+ منطقه  و+ عدم  رمي  لبنان  خلاف  ل+ مصالح  شعب +ه في  حضن  ال+ تطبيع  مع,negative
 يقول  ابن  ال+ قيم  .  .  كلم +ه عجيب +ه .  رضا  ال+ ناس  :  .  لا  مقدور  .  لم  تستطيعه  .  و+ لا  مامور  .  لم  يامر +ك الله  .  و+ لا  ماثور  .  لم  يرضوا  عن  احد,neutral
 الي  كل  ال+ قوم  الي  بروحوا  ال+ ساعه  مليون  ع  ال+ بيت  ب+ سبب  ال+ شغل  لا  تناموا  بكير  !  لا  تخلوا  ال+ دوام  يقتل  حياه +كم اعملوا  ال+ لي  بد +كم ياه  ال+ مهم  تناموش  !,positive
 ك+ ال+ عاده  نظمت  رابطه  بلانكو  فلسطين  تجمعات  في  كل  من  مدين +ه غزه  و+ مدين +ه طولكرم  ل+ متابع +ه ريال  مدريد  امام  جار +ه ال+ عنيد  اتليت,neutral
 في  حز +ه ال+ عصر  جاني  رساله  رسالت  مءلم +ه يا  الله  تعي +ني .  شي  يخص  ال+ هلال  و+ باقي  احوال +ه .  اصاب +ه اد,very_negative
 جعجع  في  معرض  حديث +ه :  انا  وقت +ها كنت  ب+ ال+ اعتقال  .  .  لا  يا  برو  انت  كنت  ب+ ال+ حبس  من  ورا  ال+ جراءم  ل+ عمله +ها مش  ب+ ال+ اعتقال  انت,negative
 هدف  لا  نرا +ه كل  يوم  .  #  .  شوف  ابن  اختي  شوف,positive
 ب+ امكان +كم ال+ تسجيل  في  قرع +ه ال+ حصول  علي  راي +ه ال+ امام  ال+ حسين  ال+ معلقه  ال+ ان  فوق  قب +ه ال+ مرقد  من  خلال  الرابط  ادني +ه و+ من  اي  بل,neutral
" استخدم  صراعات  و+ احباطات  ال+ يوم  لتحفيزك  بدلا  من  ان  تحزن +ك و+ تضجر +ك .  لذا  ,  تحكم  في  ال+ طريقه  التي  تنظر  ب +ها الي  ال+ حياه  .  حب  حب",very_positive
 و+ لماذا  لم  ينتفض  و+ يستقيل  و+ يمتنع  عن  توقيع  مرسوم  تعيين  سفير  لبنان  في  دمشق  .  كان  راضي  ب+ اقتسام  ما  تبقي  من  خيرات  ال+ دوله  مع  ج  .  باسيل  .  الي  ان  .,negative
 اللهم  ان  ال+ طريق  طويل  و+ ليس  معي  الا +لا نفس +ي ف+ ارشد +ني ب+ حكمه +ك لا  ب  حكمه +ي و+ دل +ني علي  ما  تشاء  ان  كان  خير  ل +ي انت  صاحب  ال+ امر,positive
 عاجل  وساءل  اعلام  اسباني +ه :  مذكر +ه اعتقال  اوروبي +ه ب+ حق  رءيس  حكومه  كتالونيا  ال+ مقال  و  4  من  مستشاري +ه .  ال+ اخبار  ال+ عاجله  :,negative
 مبروك  اقرار  ال+ ضريبه  رقم  5  رفع  ال+ رسوم  علي  ال+ مشروبات  ال+ روحيه  ال+ مستورده  من  60  ليره  الي  300  و+ من  200  الي  10  و+ من  400  الي  20  .  سلسل +ه ضراءب,negative
" ال+ ايام  مصير +ها تبين  ل +ك مشاعر  كل  شخص  تجاه +ك و+ تبين  ل +ك كل  شي  ,  مو  كل  قريب  من +ك يحبك  ,  ومو  كل  كلم +ه لطيف +ه من  قلب  صادق +ه",neutral
 اذا  انت +ه مامهزوم  اطلع  من  امام  مجلس  ال+ نواب  ال+ كردي  في  اربيل  و+ صرح  و+ مول  ها  انا  من  امام  مجلس  ال+ نواب  في  اربي,negative
