Tweet	Country	Topic	Sentiment	Sentiment_Expression	Sentiment_Target
قيل لحمدون بن أحمد رحمه الله:. ما بال كلام السلف أنفع من كلامنا ؟. قال: لأنهم تكلموا لعز الإسلام ، ونجاة النفوس ، ورض… https://t.co/9ujgGIVlN3	syria	religions	positive	explicit	 السلف
🔴 كائنا من كان .. لن ينجو أي شخص دخل في قضية #فساد .. انتهى زمنك أيها المسؤول الفاسد المتلاعب بأنظمة ومقدرات الدولة… https://t.co/Pts8mxqwwW	palestine	politics	very_negative	explicit	قضية #فساد
#الاردن_يتقدم. الحكومة الاردنية تعلن اطلاق مشروع المدينة الجديدة .. نتمى ان يكون التنفيذ على افضل ما يكون . https://t.co/7oatmRoykH	jordan	politics	positive	explicit	اطلاق مشروع المدينة الجديدة
دمقراطية ترامب في السعودية. سرقة الأموال. واسقاط طائرات واعتقالات واغتيالات الشركة المساهمة بن سلمان وأولاده وترامب يحكم السعودية	syria	politics	very_negative	explicit	دمقراطية ترامب في السعودية
سيبك من معادلات الرياضة والحاجات اللي ملهاش لزمة في حياتناممكن اعملكم معادلة تبين قد اي وجود حدفي حياتك بيحسن نفسيتك ويزود كفائتك بنسبة كام	palestine	personal	positive	explicit	وجود حدفي حياتك بيحسن نفسيتك
منرجع للمنتخب . حتى اصدقائي بالثانوي اللي كنت فكرهم رمادين او حتى شبيحة طلعوا بيكرهوا المنتخب و شمتانين .. لك هالكم واحد وعامل جمعور منين جي ؟	lebanon	sports	very_negative	explicit	طلعوا بيكرهوا المنتخب و شمتانين
شو حلو انو رفقاتي يباركولي ع أغانيك😍 كتير فخورة فيك الله يخليلي ياك❤ و الى المزيد من التألق و النجاح❤❤ @josephattieh https://t.co/0jxRou6Iu3	lebanon	personal	very_positive	explicit	يباركولي
@cnnarabic يارب اطفا نار الفتنة / انتبهوا ولا تعيدوا خطا الحرب العراقية الإيرانية /هذه سياسة كلما تظهر قوى في الم… https://t.co/CVnKwvbEdc	syria	politics	negative	explicit	الحرب العراقية الإيرانية
تقليد الآخرين لا يعني أنّك ستحصل على ما حصلوا عليه ، ربما يعجبك رزق غيرك فتحاول أن تكون مثله والله مخبئ لك الأجمل و… https://t.co/vDXdBIUVmd	jordan	personal	positive	explicit	والله مخبئ لك الأجمل
لماذا تصمت الكلمات في شفتيّ لما كنت القاك. لماذا تهرب النظرات من عيني لما كنت القاك. لماذا كل شيء في حياتي يمسى صورة من دون معنى حين اهواك	jordan	personal	very_positive	explicit	اهواك
#مقاطعه_اوبر_وكريم1 انتم تريدون و هم يريدون و الله فعال لما يريد اللجاء الى الله و قل يا رب و لن يخيب لك ضن بأمره ان شاء الله	palestine	personal	negative	explicit	لن يخيب لك ضن
"@Bimawdou3ieh تحلّوا بالمسؤولية الوطنيّة! كفّوا عن اعطائكم الغطاء و الأعذار لأي عدوان خارجي او لبثّ جوّ من الفتن داخلية عبر ضيوف ""الفتنة"" .."	syria	politics	negative	explicit	تحلّوا بالمسؤولية الوطنيّة
@yara__CR7 والله الاثنين غالين على . لانو تقريبا اول نادين حبيتهم . حتي بس روح ع سعودي جبت تي شيرت الهلال 😂😂	palestine	sports	positive	explicit	اول نادين حبيتهم 
لم يتبقى لتنظيم داعش الارهابي الا مدينة صغيرة في أعالي نهر الفرات وتحريرها لا يستغرق الا ايام ولكن هناك الألف المقا… https://t.co/8zQYt64gCr	jordan	politics	very_negative	explicit	داعش الارهابي
"ولي العهد السعودي يتهم #ايران بشن ""عدوان مباشر"" ضد بلاده. https://t.co/Am5vyTJkIA. #السعودية"	syria	politics	negative	explicit	يتهم #ايران بشن
@ii_kk9 امي لاأراني الله مكروها فيك ، فلتتوقف أنفاسي قبل أنفاسك ، دونك لاقيمه لي ولاحياة .... اطال الله في عمرك ..	jordan	personal	positive	explicit	أراني الله مكروها فيك
#اللبناني بس يكون عليه دعوى بالمحكمة. بقول: نحن لنا ملء الثقة بالقضاء. وبس يطلع الحكم لغير صالحه. بقول: نحن لنا ملء الثقة أن القضاء مسيس ومسيّر	lebanon	politics	negative	implicit	اللبناني
*اليابان* . _جرحت الهلال_ . بـ ﴿ نيشيمورا ﴾ . _حرمت الهلال_ من . ﴿ ادواردو ﴾	palestine	sports	negative	explicit	ت الهلال_ 
عبد القادر طارق مهاجم الشرطة لISN : . لا خلاف مع البرازيلي باكيتا ورفضت جميع العروض المحلية والخارجية حبا بالقيثارة… https://t.co/e1hrHoa8St	syria	sports	neutral	none	none
"مركز أسرى فلسطين للدراسات: تدهور خطير طرأ على صحة الأسير فادي حامد رجب صرصور ""23 عاما"" من بلدة العيزية في #القدس ال… https://t.co/juN4Lrclzu"	palestine	politics	negative	explicit	صحة الأسير فادي
قتلها بهدف السرقة فكانت غلّته 20 ألف ليرة.. منفّذ #جريمة_المعاملتين في قبضة #فرع_المعلومات https://t.co/kjcZWp45vD https://t.co/VN1F7Uza3E	syria	news	very_negative	explicit	جريمة_المعاملتين في قبضة
زوار لقاء الاربعاء النيابي: معلومات عن امكان قيام الحريري بزيارة سريعة للبنان يقدم فيها استقالته بشكل رسمي خلال الس… https://t.co/9rl30ySkvH	syria	politics	neutral	none	none
مدرب منتخبنا باسم قاسم يستدعي مدافع نادي الزوراء كرار محمد لصفوف المنتخب . https://t.co/Py8R0v4Yws	jordan	sports	neutral	none	none
@ صباح الأمْل بِالله♥ ، و الطمأنينه فِي ظله و الثِقَة بما عنده ، والرضى بما گتبه ~ اللهُم أفتح لنا أبواب الخير في ه… https://t.co/Sszjt35bED	jordan	personal	very_positive	explicit	صباح الأم
#العبادي. اعتماد افضل طريقة لتوزيع الموازانة بنسب عادلة لكل الشعب عن طريق عدد سكان كل محافظة ونسبة 17% ليست قانون ثابت وقابلة للتغيير	syria	politics	neutral	none	none
طلعو الشباب على سعودية السياسيين وهلاء إجى دور رجال الدين ...زمن الاستدعاء ويقولون بدنا لبنان سيد حرة ....أنا لبناني بدّي يكون فيه السيد.	lebanon	politics	very_negative	explicit	ويقولون بدنا لبنان سيد حرة
@ajmurgent الكلام مع امريكا و اسرائيل اما بني سعود تحت احتلالهم لا حول لهم و لا قوة بس تنفيذ اوامر	syria	politics	negative	explicit	['بني سعود', 'الكلام مع امريكا و اسرائيل']
@sh0uqa2 @v_i_b_2 #كاس_العالم_بيوحشنا_٢. القوة القوة لا بارك الله بضعف هذا جمهور خط النار لا تورط نفسك معهم . اتمنى ي… https://t.co/Qjuyf9vztz	palestine	sports	positive	explicit	هذا جمهور خط النار
@karamar3 @yous0f @Sl6___ @AlShahenoo هههههه تذبحني والله خفت .. ي اخي رايي ان عكايشي كويس والعام قدم مستوى لكن هالسنه الكل سيء ..	palestine	personal	negative	explicit	عكايشي كويس
سيذكرني قومي اذا جد جدهم وفي. الليلة الظلماء يفتقد البدر . والله نفتقدك يا وصفي في هذه الصروف الصعبه https://t.co/IWHzVtD4bj	jordan	personal	negative	explicit	['والله نفتقدك يا وصفي في هذه الصروف الصعبه', 'الليلة الظلماء يفتقد البدر', 'نفتقدك يا وصفي في هذه الصروف الصعبه', 'وصفي']
اسنسيو خرافي بكلشي اليوم . ما عنده قتالية الدون, بس كثير بيحاول يقدم 😻	jordan	sports	very_positive	explicit	اسنسيو خرافي بكلشي اليوم
@mo6nsh_911 @ssqksa @Abo_z1 كفو والله يبارك فيك اخي #مطنش وكثر الله من امثالك وجميعنا ابناء وبنات الوطن يد وحده بخد… https://t.co/zCaOA6ZiqC	jordan	personal	positive	explicit	وجميعنا ابناء وبنات الوطن
يمكن إعتبار أن أول العواصف المنتظرة لفصل الشتاء كانت عاصفة سياسية غير مسبوقة بالشكل والمضمون لما تحمل من غموض عسى ا… https://t.co/1SsoAuIvFH	syria	politics	negative	explicit	كانت عاصفة سيا
مسنّ يقول:. عندما كانت زوجتي تناديني لأقرأ لها بعض الكلمات ، أوهمها أنني لا استطيع لكي لا تشعر بأنها كبرت وحدها. . هك… https://t.co/VFN2MGcPSr	lebanon	personal	very_positive	explicit	لكي لا تش
يارب لا تقطع صوتها من البيت واعطها العمر الطويل، يا من بيده ملكوت السماوات والأرض احرس امي فهي حياتي وما ملكت ..	palestine	personal	very_positive	explicit	احرس امي
رَبِ لا تكسر لي قلباً و لا تُصَعِب عليَّ أمراً و لا تحركني من تعلّقت بهم الروح و احفظ لي عائلتي و أحبتي و من أراد الخير لي 💙	jordan	personal	very_positive	explicit	رَبِ لا تكسر لي
مشروع لدعم #الخبز في مدينة #دوما بـ #الغوطة_الشرقية يقدم 5 آلاف ربطة #خبز يوميا في ظل #الحصار الذي يفرضه #الأسد ، ع… https://t.co/wHI4d9AbNa	syria	politics	positive	explicit	مشروع لدعم #الخبز
الحياة أجمل من حزن و أصدق من خيبة و أعظم من غدر و أكبر من كذبة. فقط. أنظر لها بـ القلب الذي يرى الله. و ثق به حتى إن ك… https://t.co/rqSfI55YCm	jordan	personal	positive	explicit	من خيبة
- لستُ وحدي ،. جالسٌ بجانبي وجعي ، وتلك الدموع التي تحتضن عيناي ، و لي قلبٌ يتألم و يبكي ؛. أنا لستُ وحدي ، فأنا معي .. !!	syria	personal	very_negative	explicit	ع التي تحتضن عيناي
الطراونه يدعو ربط الضريبة بالخدمات وتوفير فرص عمل ..... يا شيخ النواب مشكلتنا الكم الهائل من الموظفين الي ما الهم شغل وبيصرف عليهم الشعب	lebanon	politics	very_negative	explicit	مشكلتنا الكم الهائل من الموظفين
في طبع سيء جدا انا بكرهو والحمدلله مش موجود عندي رغم انه ظاهرة عالمية، انت بيكون معك الغرض، بس مش محتاجه، في حين شخ… https://t.co/EUdInPKI6J	palestine	personal	very_negative	explicit	جدا انا بكرهو
ولأنك لا تدري بأي عمل قد تدخل الجنة اكتب ' دعاء - حكمه - نصيحه - آية ' . لا تدري لربما يهتدي احدهم او تزرع ابتسامة او تسعد قلب..	palestine	religions	very_positive	explicit	 الجنة
تحية إلى كل إنسان ولد و يعيش في العالم العربي و تمكن من الاحتفاظ بقدرته على التفكير المستقل والارتقاء فوق تخلف مجتمعه.. لك مني كامل الاحترام	lebanon	personal	positive	explicit	الاحتفاظ بقدرته على التفكير المستقل
- لو كان (نصف) مزيج بين الظاهرة وزيدان .. لإحتفلنا بالهدف قبل ان يستلم الكرة ، ولكن الغباء يلعب دور ! https://t.co/jrTPJJjs4h	jordan	sports	negative	explicit	مزيج بين الظاهرة وزيدان
طربيه: تلقينا تأكيدات من الأميركيين أن القطاع المصرفي غير مستهدف بالعقوبات على حزب الله طالما هو يتقيد بالاجراءات الدولية للعمل المصرفي	lebanon	politics	neutral	none	none
تنبيه : حملة حضر لحسابات السناب الشات اللي تستخدم تطبيقات الطرف الثالث مثل سناب بلس ، و سناب عثمان نصيحه ابتعدو عن… https://t.co/ZMOXmY9LQ9	jordan	personal	negative	explicit	نصيحه ابتعدو
أربعينية الإمام الحسين عليه السلام ؟ مسيرة إصلاح الأمة لخدمة المبادئ الأساسية لقيم السماء في الأرض ولكل الإنسانية ؟ خطها أبا الاحرار ؟	jordan	religions	positive	explicit	ربعينية الإمام الحسين عليه السلام
الشيخ #ياسر_عودة 👏 . لما تسمع كلامه وكيف ينتقد وينور السنة والشيعة . تحس انو التنوير في طريقه لا محال في ذلك 💕	syria	religions	positive	explicit	الشيخ #ياسر_عودة
المجلس السياسي الاعلى في اليمن: المطارات والموانئ والمنافذ المهمة لقوى العدوان ستكون هدفا مباشرا	syria	politics	neutral	none	none
الإعلامي نديم قطيش يعلن أن شبكة الإتصالات الخاصة بالرئيس #الحريري تعرضت للخرق مرات عدة والأجهزة الأمنية قالت له إن ثمة شيئاً يحاك ضده	lebanon	politics	negative	explicit	تعرضت للخرق
#مجزرة_سوق_علاف_بسحار ان العالم اعمى أبكم أطرش لا يسمع ما لكم الا الله وأنفسكم اضربوهم أحرقوا. نفطهم لا ترحم احد يأتي العالم أليكم راكع	lebanon	politics	very_negative	explicit	_علاف_بسحار ان العالم اع
السلام عليكم. تحديث جديد لنظام IOS يحمل الرقم 11.1.1 وفيه تم حل مشكلة التصحيح التلقائي وكذلك حل مشكلة يا سيري	palestine	personal	positive	explicit	تحديث جديد لنظام
اللهم غفر لنا ذنوباً حالت بيننا وبين ذكرك ، واعفوا عن تقصيرنا فى طاعتك وشكرك ، وأدم علينا لزوم الطريق إليك ، وهب لنا نوراً نهتدي به إليك .	lebanon	religions	neutral	none	none
عندما تضع امامك حلم وتواجه بعض العقبات للوصول الي هذا الحلم وتمضي السنوات الاربع حتي تحقق حلمك سوف تفرح وتستلم وثيق… https://t.co/vdw3zPN52B	palestine	personal	very_positive	explicit	العقبات للوصول الي هذا الحلم
كل اللي سويته اليوم اني ذاكرت موضوع واحد من مواضيع hematology وقررت اخذ بريك باقي اليوم . *ماشاءالله على قوة العين والبجاحة*	palestine	personal	negative	explicit	ماشاءالله على قوة العين والبجاحة
@GundiOmer @WahidBarzane 6- برامج واجندات لسب جميع صحابة رسول الله صل الله عليه وسلم 7- تدمير منطقة الشرق الاوسط و… https://t.co/Mey9HB1979	jordan	religions	negative	explicit	برامج واجندات
بعد تهديد #إيران بالإنسحاب من بطولة دوري أبطال آسيا لكرة القدم، الإتحاد الآسيوي يلغي قانون الملاعب المحايدة .. القا… https://t.co/6AGwnGN3zg	jordan	sports	neutral	none	none
لقد مات عمر ومات صلاح بل مات #الأسلام في قلوب خوارة مريضة جبانة .. لانملك إلا دموعاً وعذراً ودعاء . رحماك ربي . https://t.co/tI91mYGxQZ	palestine	politics	negative	explicit	لقد مات عمر ومات صلاح
مفتاح النجاح وسلاحك في الحياة هو :. انا جايي من طرف فلان . اما قصة شهادة ما شهادة . حاكيني عالخاص لقلك شو بتعمل فيها	lebanon	personal	very_negative	explicit	مفتاح النجاح
أتقدم بأحر التعازي في وفاة الأمير منصور بن مقرن ومرافقيه سائلا الله أن يتغمدهم برحمته وأن يلهم ذويهم الصبر والسلوان إنا لله وإنا إليه راجعون	jordan	personal	very_negative	explicit	أتقدم بأحر التعازي
تقام عصر اليوم على ملعب #نادي_ضمك مباراة مهمّة جداً جداً بالنسبة للنادي وإدارتة وجمهورهـ الكريم . الفوز ولاشي غير ا… https://t.co/ougMBGzZiN	palestine	sports	positive	explicit	. الفوز ولاشي غير
على خشبة المسرح عرض فريق من طلاب ES 2 SC بحثا عن المسرح ،ولقد شاركوا زملاءهم تمثيل مشاهد معبرة . https://t.co/mcrHI1kPRs	lebanon	entertainment	neutral	none	none
@sabyaedu حفل توديع نهايه وحدة المسكن بفصل المبدعون في الروضه الرابعه بصبيا تحت رعاية رائدة الفصل الاستاذه / شذا ا… https://t.co/gelKbE2v5q	palestine	entertainment	neutral	none	none
لهجتها في الكلام عسوله اي نعم ما فهمت ولا كلمه بس اللهجه مثل المسلسلات الخليجيه احب اتفرج عليها بس ما افهم شيء بس ع… https://t.co/btUHXijC8p	syria	entertainment	positive	explicit	لهجتها في الكلام عسوله
حدث في مثل هذا اليوم قبل سنة. تحرير مركز ناحية #بعشيقة من ايدي ارهابي #داعش تحية للدماء الزكية التي ساهمت بتحريرها وتحرير كل شبر من #العراق	syria	politics	positive	explicit	تحرير مركز ناحية
جعجع رفض دعوة بن سلمان والعذر الأعياد على لبواب وستريد حامل اذا بدكم. سامي الجميل ما عندو شي انا جربت السجن مرة على مين يا ابن. سلمان	syria	politics	negative	explicit	جعجع رفض دعوة بن سلمان
منتخب فرنسا حالياً منتخب جبّار بكل خانة تحصلك نجم ، اتوقع يسوون شي بالمونديال القادم	lebanon	sports	very_positive	explicit	منتخب جبّار
@saudimomra مع العلم اننا في الصيف نعاني العجاج والمبطبات وفِي الشتاء نعاني الوحل والغراز والطين . مع ان المطلب يسير… https://t.co/C3kGyvxojv	jordan	politics	negative	explicit	نعاني العجاج والمبطبات
نضغط الشاشه وحروفي تحاكيك. و الكل يقرأ .. ما كتبته .. و يفهم. :. إلا انت .. قلي يا غرورك ومعميك. خلك معه .. بكره تعلم .… https://t.co/6r0k8XxCha	syria	personal	negative	explicit	
عن الرضا ( عليه السلام ) قال : شيعتنا المسلمون لأمرنا ، الآخذون بقولنا ، المخالفون لأعدائنا ، فمن لم يكن كذلك فليس… https://t.co/LzATdVRMCC	syria	religions	neutral	none	none
إن لله وإن إليه راجعون. اللهم أجرنا في مصيبتنا واخلفنا خيراً منه. اللهم ابدلها داراً خيرًا من دارها. واهلاً خيرًا من اهلها	jordan	personal	negative	explicit	اللهم أجرنا في مصيبتنا
"وصية أحدالسلف:. يابني""خف الله خوفا. لو ترى أنك أتيت بجميع حسنات أهل الأرض لم يقبلها منك. وارجه رجاءى. لو أنك أتيت بجميع ذنوب أهل الأرض لغفرها لك"	palestine	religions	neutral	none	none
#جعجع: استغرب كيف ان #الحريري لم يستقل قبل هذا التاريخ،فما حصل في الاشهر الاخيرة لا يمكن لأحد ان يحترم نفسه أن يبقى في الحكومة	lebanon	politics	very_negative	explicit	فما حصل في الاشهر الاخيرة
#الجميل: هدف الضرائب تمويل حملة السلطة الانتخابية،لا يريدون الإصلاح ولا وقف الفساد بل يريدون تمويل الفساد من جيوب اللبنانيين #ضرايب_بالقوة	lebanon	politics	negative	explicit	لا يريدون الإصلاح
منتخب لبنان يسجل هدفه الأول في الدقيقة الواحدة والعشرين على منتخب كوريا الشمالية ببطولة كأس آسيا على ملعب بيروت البلدي	lebanon	sports	very_positive	explicit	منتخب لبنان يسجل هدفه الأول
#ليه_استقال_الحريري الزعطوط سعد الحريري قدم استقالته الى محمد بن سلمان معقول يا ناس ما بيعرف مين رئيس لبنان https://t.co/AAmSJ8jGmc	lebanon	politics	very_negative	explicit	سعد الحريري
هذا منتخب الاقليات الذي يعتبر ان الموت فقط هو ما يستحقه الاكثريه كيف كنت تؤيد هذا الفريق يا سني سوري شكرا استراليا https://t.co/FFV7eW7jhM	lebanon	sports	negative	explicit	منتخب الاقليات
"الشرطي الذي ألقى القبض على الأمير الوليد ... سأله انت الوليد بن طلال صاحب قنوات ""روتانا""؟؟؟. قاله : اه . قاله : *من ال… https://t.co/7UNjKzIDV8"	syria	politics	neutral	none	none
بريطانيا أرادات أن تؤسس في فلسطين قاعدة للاستعمار الغربي ووجدت أن الصهيونية يمكن أن تحقق لها هذا الهدف الاستراتيجي.. #Balfour100	lebanon	politics	neutral	none	none
غادر الأماكن التي تشعر فيها أنك أثقل من الهواء وأن من فيها على وشك الإختناق بك ، غادر واترك مسافه بينكما ترتاح فيها الذكريات الجميلة *	jordan	personal	positive	explicit	أثقل من الهواء
حتى لو خسرنا. المهم إنكن رفعتوا راسنا قدام العالم كلّو و الكلّ عرف مين المنتخب السوري و مين نسور قاسيون. #نسور_قاسيون شكراً إلكن على هالفرحة❤	lebanon	sports	very_positive	explicit	المنتخب السوري
الصحفية پولا أعلنت خبر انه تم قطع قناة المستقبل والMtv لأنهم يعرضون المقابلة مع سعد الحريري هذا تحريض على اهل الضاح… https://t.co/pl1NDD6qsw	palestine	politics	negative	explicit	ا تحريض على اهل الضاح
الرئيس القرغيزي المنتخب واثق من التسوية السريعة للمشاكل مع كازاخستان https://t.co/nLUCtgYoII. #قرغيزستان https://t.co/C42e4n2l6M	syria	politics	positive	explicit	التسوية السريعة للمشاكل
خلصت منها من الوتس آب أجب على الفيس بوك ونتطلي على المسنجر بالآخر بتحكيلي أنا مزعجة صح لا والله بدك حرق عالم لزقة 😩😤	lebanon	personal	very_negative	explicit	والله بدك حرق عالم لزقة
قال عبد الرحمن بن مهدي :. لولا أني أكره أن يُعصى الله لتمنيت ألا يبقى في هذا العصر أحدٌ إلا وقع فيّ واغتابني فأي شيء… https://t.co/ITujpbJnrU	syria	religions	neutral	none	none
@F1__ZZ @SECULARSH كن حذر بما تسمعه عن المرأة السعودية العظيمة ، فالإشاعات ألتي تأتي بهدف التسقيط والتجريح إما من… https://t.co/Yf2tv1xxYW	syria	personal	positive	explicit	المرأة السعودية العظيمة
الذي قلبه فعلاً على البلد كان عليه عدم اقحام نفسه بحروب المنطقة وعدم رمي لبنان خلافاً لمصالح شعبه في حضن التطبيع مع… https://t.co/PDAAhT2ZZ6	syria	politics	negative	explicit	عدم اقحام نفسه بحروب المنطقة
يقول أبن القيم .. كلمة عجيبة . رضا الناس :. لا مقدور ..... لم تستطيعة . ولا مأمور ..... لم يأمرك الله. ولا مأثور ..... لم يرضوا عن أحد	jordan	religions	neutral	none	none
إلى كل القوم الي بروحوا الساعة مليون ع البيت بسبب الشغل لا تناموا بكير ! لا تخلوا الدوام يقتل حياتكم اعملوا اللي بدكم ياه المهم تناموش !	jordan	personal	positive	explicit	الساعة
كالعادة نظمت رابطة #بلانكو_فلسطين تجمعات في كل من مدينة غزة ومدينة طولكرم لمتابعة ريال مدريد أمام جاره العنيد اتليت… https://t.co/4GP3QU8uu6	palestine	sports	neutral	none	none
في حزة العصر جاني رساله رسالتً مؤلمه يا الله تعيني. شي يخص الهلال وباقي احواله . إصابة إد… https://t.co/xKokrpvihn	palestine	sports	very_negative	explicit	شي يخص الهلال
"جعجع في معرض حديثه: أنا وقتها كنت ""بالإعتقال"".. لا يا برو انت كنت بالحبس من ورا الجرائم لعملتها مش بالإعتقال 🙂 انت… https://t.co/xGfu2y7xyN"	syria	politics	negative	explicit	الجرائم لعملتها
هدف لا نراه كل يوم . #LEITOT . @oki_q8e شوف ابن اختي شوف 🤗 https://t.co/ZmVMl4sOqA	jordan	sports	positive	explicit	['هدف لا نراه كل يوم', 'هدف']
بأمكانكم التسجيل في قرعة الحصول على راية #الامام_الحسين المُعلقة الأن فوق قبة المرقد من خلال الرابط ادناه ومن اي بل… https://t.co/Ll1yCvLc49	syria	religions	neutral	none	none
استخدم صراعات وإحباطات اليوم لتحفيزك بدلًا من أن تُحزنك وتضجرك. لذا، تحكَّم في الطريقة التي تنظر بها إلى الحياة.😍😍… https://t.co/d1A6vLwGe7	jordan	personal	very_positive	explicit	استخدم صراعات وإحباطات اليوم لتحفيزك
ولماذا لم ينتفض ويستقيل ويمتنع عن توقيع مرسوم تعيين سفير لبنان في دمشق .كان راضياً بإقتسام ما تبقّى من خيرات الدولة مع ج. باسيل. إلى أن 🤔...	lebanon	politics	negative	explicit	توقيع مرسوم تعيين سفير لبنان
اللهم إن الطريق طويل وليس معي إلا نفسي فأرشدني بحكمتك لا بـ حكمتي ودلني على ما تشاء ان كان خيراً لي أنت صاحب الأمر… https://t.co/bRvn1GLkDW	palestine	religions	positive	explicit	فأرشدني بحكمتك
#عاجل | وسائل إعلام إسبانية: مذكرة اعتقال أوروبية بحق رئيس حكومة كتالونيا المقال و4 من مستشاريه. الأخبار العاجلة:… https://t.co/js1tAR0e7I	lebanon	politics	negative	explicit	اعتقال
مبروك اقرار الضريبة #رقم٥ رفع الرسوم على المشروبات الروحية المستوردة من ٦٠ ليرة إلى ٣٠٠ ومن ٢٠٠ إلى ١٠٠٠ ومن ٤٠٠ إلى ٢٠٠٠. #سلسلة_ضرائب	lebanon	politics	negative	explicit	مبروك اقرار الضريبة
الايام مصيرها تبين لك مشاعر كل شخص تجاهك وتبين لك كل شي ، مو كل قريب منك يحبك ، ومو كل كلمه لطيفه من قلب صادقه	jordan	personal	neutral	none	none
@AzadCemkari اذا انتة مامهزوم اطلع من امام مجلس النواب الكردي في اربيل وصرح ومول ها انا من امام مجلس النواب في اربي… https://t.co/CWEh8zZFEP	syria	politics	negative	explicit	مجلس النواب الكردي في اربيل
@saadhariri الله يرحم الوالد الشيخ رفيق الحريري ساير على خطاه يوم بعد يوم عم بتثبت إنو يللي خلٌف ما مات الله يخليك… https://t.co/H3NHbEbuT2	lebanon	politics	positive	explicit	خلٌف ما مات الله يخليك
#رجعت_الضرايب بكل دول العالم باستثناء لبنان مقابل كل ضريبة في خدمة،عنا مقابل كل ضريبة في ضربة بتضربنا بالقلب ،،، طيب ليش انا لبناني؟؟😟😟	lebanon	politics	very_negative	explicit	ضربة بتضربنا بالقلب
بعد غياب طال ثلاثة أو أربعة أيام وبعد الضغوطات الإعلامية ظهر الفتى المدلل اللبناني سعد الحريري مع الملك سلمان واللق… https://t.co/BGpyeh46TC	jordan	politics	negative	explicit	سعد الحريري
#الخليوي_يستاهل فوق ماهو شايل الفريق هالموسم على ظهره تبرع للجمهور بـ١٠٠ تذكره على حسابه .. واتحدى اذا في لاعب اجنب… https://t.co/Ke41GlvB1O	palestine	sports	very_positive	explicit	الخليوي_يستاهل
لا تحكم على حدا من طريقة حكيه ولا من من شو بكتب ولا من شغله .. لا تحكم عحدا اصلا خليك بحالك	jordan	personal	negative	explicit	لا تحكم على حدا
قال الحسن البصري -رحمه الله- (والله ما المؤمن بالذي يعمل شهر أو شهرين أو عاماً أو عامين ، والله ما جعل الله لعمل المؤمن أجل دون الموت )	palestine	religions	neutral	none	none
هناك شر واحد ،وهو ادعاء المعرفة . وهذا مافعله الدين . حيث اقنع الجهلاء بان خطة الكون وصيرورته محتومه وهي بيد شيء نموت ولن نراه ويدعى الرب	jordan	religions	negative	explicit	وصيرورته محت
فرق كبير بين صوت حلو مع أداء حلو، او خامة حلوة فقط... وأغلب الناس بتشجع وبتحكم حسب الخامة اللي هي من الله.. ف تجعوش ر… https://t.co/pw3hI9FV5N	palestine	entertainment	neutral	none	none
@MBA_AlThani_ يجب تعزيز العلاقات مع قطر لأن نحن ألان في خندق واحد وعلى قطر دعم العراق أقتصادية من خلال ألاستثمارات في العراق واعلامياً ايضاً	syria	politics	positive	explicit	تعزيز العلاقات مع قطر
