category,text
-1, رقم  ال+ عنف  مدان  ضد  منشات  عامه  او  خاصه  ضد  مجمع  محاكم  او  اقسام  ل+ ال+ شرطه  او  مقر  اعلامي  حزبي  ك+ اخوان  اون  لاين  من  ال+ اجهزه  ال+ امنيه  او  من  ال+ متظاهرين
-2, ال+ لي  ما  يعرفش  يقول  عدس
1, الي  زملاء +ي ال+ محامين  ال+ راغبين  في  ال+ انضمام  ل+ مبادره  التي  تهدف  ل+ دمج  متحد +ي ال+ اعاقه  في  ال+ مجتمع  يسعد +نا اشتراك +كم
0, اابني  ال+ مستقبلي  تشرب  حشيش  عاادي  تصااحب  بنااااات  شغال  تضرب  ابو +ك وماالو  بس  تطلع  زملكاوي  هولع  في  ابو +ك
-2, هواجس  ال+ عام  ال+ جديد  سادس +نا كيف  يرتقي  ال+ اداء  ال+ مهني  ل+ مجلس  ال+ شعب  ل+ مستوي  توقعات +نا عمرو  حمزاوي  بوابه  ال+ شروق
-2, ماشاء  الله  لا  قوه  الا  ب+ الله  مءشر  بورصه  قطر  يسجل  اعلي  مستوي  في  تاريخ +ه سحب  ال+ سفراء  من  قطر
1, هل  هناك  حضاره  دون  وجود  ال+ مراه  يجب  ان  نثق  في  قدرات  ال+ مراه  ف+ هي  داءما  جزء  من  ال+ نجاح  من  غير  ال+ مراه  لن  تكون  هناك
-2, س+ ابحث  غدا  مع  رءيس  تشاد  موقف  ال+ بلدين  من  سد  ال+ نهضه  ال+ اثيوبي
-2, من  كتاب  دعوه  ل+ ال+ تعايش  ل+ ال+ دكتور  عمرو  خالد  اذا  كان  لدي  داءرتي  و+ فكري  و+ لدي +ك داءره +ك و+ فكر +ك و+ اذا  ظلل +نا علي  بعد  س+ تبقي
-2, اللهم  لا  تحرمنا  خير  ما  عند +ك بشر  ما  عند +نا
0, مءتمر  ال+ مفكرين  في  ابو  ظبي  ال+ عالم  يعيش  ثوره  ال+ علم  و+ ال+ تكنولوجيا  و+ ال+ تواصل  ال+ انساني  و+ نحن  نعيش  حقبه  ال+ جهل  و+ ال+ كذب  و+ غياب  ال+ قيم  حزين  علي +ك يا  مصر
-1, انا  لو  نفس +ي اخطط  و  ارتب  و  اصرف  فلوس  ال+ دنيا  عشان  اشوه  ال+ اخوان  مش  حاعرف  اخترع  حد  زي  صفوت  حجازي
-1, تحالف  بين  انصار  بيت  ال+ مقدس  و  ال+ حرس  ال+ ثوري  ل+ تنفيذ  عمليات  ارهابيه  في  مصر  مصر  ال+ اخوان  ال+ مد  ال+ شيعي  عمليات  ارهابيه
1, اسم  فيلم  بتحبه  اسف  علي  ال+ ازعاج
-1, رقم  مش  عيب  تكذب  عمر +ي ما  عملت  و+ لا  هعمل  بلوك  ل+ حد  لا  تمدح  نفس +ك
-1, ال+ ضعف  ال+ انتخابي  و+ ال+ جماهيري  لا  يقتصر  علي  ال+ احزاب  ال+ جديده  و+ يطال  ب+ كل  تاكيد  قوي  راسخه  في  ال+ مشهد  ال+ سياسي  الا  ان  عقود  سلطويه  مبارك  ال+ طويله  انهكت +ها
-1, مصر  ال+ قويه  رقم  حذر +نا من  خطر  تحول  سلطات  ال+ دوله  ل+ مجرد  سند  ل+ سلطه  عسكريه  لا  تفهم  سياسه  و+ لا  تعي  معني  ال+ دوله  و+ مهام +ها و+ حدود +ها خارج  فكره  حمل  ال+ سلاح
-2, دعلاء  الاسواني  هل  يحاسب  ال+ رواءي  علي  خيال +ه اقرا  ال+ مقال  كاملا  علي  الرابط  ال+ تالي
-1, منذ  عامين  و+ حتي  ال+ ان  كل  ما  قدم +ه انصار  تيارات  ال+ شعارات  ال+ اسلاميه  ل+ مصر  مجرد  مشاريع  خناقات  مع  ال+ عالم  و+ ال+ كون  و+ ابناء  ال+ وطن
-2, دي  نسخه  اوضح  من  ال+ معصره  علي  بوابه  ال+ شروق  و+ ب+ اذن  الله  بكر +ه يوم  اجازتي  هانزل  ل +كم مساءا  مقتطفات  من +ها زي  ال+ اسبوع  ال+ لي  فات
-2, و+ الله  كنت  مسافر  و+ بعدين  عيان  و+ شكلي  هاغيب  فتره  عشان  فجاه  صحي  مشروع  فيلم  مهم  كنت  باحلم  بيه  من  زمان  و+ يبدو  ان +ه هيتحققهاغطس  شهرين  كد +ه
-1, ب+ اسم  طلع  حرام +ي يا  حرام +ي
-2, اخبار  مصر  مبارك  يظهر  ل+ انصار +ه من  شرفه  غرفه +ه امام  مستشفي  ال+ معادي  و+ يحيي +هم ب+ ال+ فيديو
-2, دوره  تدريبيه  في  رمي  ال+ طوب  ب+ خصوص  اتهام  ال+ نيابه  ال+ عامه  ل +ي ب+ ال+ تحريض  علي  قتل  ال+ متظاهرين  ال+ سلميين  ال+ ساجدين  امام
-2, ان  تفقد  مالك  ف+ قد  فقدت  غاليا  في  حياه +ك و  ان  تفقد  شرف +ك و  امانه +ك ف+ قد  فقدت  اغلي  ما  في  حياه +ك لكن  اذا  فقدت  ال+ امل  ف+ قد  فقدت  كل  شيء  في  حياتكسوريا
-2, حاجات  بتفرح
-2, غرد  ب+ صور +ه تصوير  تصميم +ي مطر  جونا  خقه  اتمني  يعجب +كم وهلون
-2, دعمرو  حمزاوي  برنامج  اخر  كلام  رقم  ابريل  رقم
-1, ال+ سلفي  سعيد  عبد  ال+ عظيم  قال  ان  مرسي  ايه  من  ايات  الله  و+ نسي  ان  الله  تعالي  ارسل  الي  مصر  ايام  سيد +نا موسي  ايات  من +ها ال+ جراد  و+ ال+ قمل  و+ ال+ ضفادع  و+ ال+ دم
-2, بلاغ  ل+ مباحث  ال+ انترنت  ال+ لي  يعرف  ال+ معلومات  دي  ل+ تزم  يكون  مشارك  في  ال+ عمليه
-2, مفيش  نور  يتقطع  و  محدش  يقولي  ده  كلام  اح +نا في  دول +ه ماينفعش  متقدرش  توفر  كهربه +ها لو  بقيت  رءيس  جمهوري +ه
1, لسان  ال+ عرب  بين  ال+ السنه  ك+ زمن  ال+ ربيع  بين  الازمنه  ال+ يوم  ال+ عالمي  ل+ لغه  ال+ عربيه
1, بور +ك ل +ك في  ال+ مولود  ادعو  الله  ان  يجمع  شمل  ال+ اسره  في  بيت +هم ال+ طيب  و  يجعل  من  خالد  نعم  ال+ ابن  ل+ نعم  ال+ ابوين
-2, في  ال+ قطاع  ال+ حكومي  و+ اعطاء  حوافز  ل+ ال+ مشروعات  ال+ صغيره  و+ ال+ متوسطه  و+ تبني  مشروع  قومي  ل+ ال+ تعليم  و+ محو  ال+ اميه
-2, ال+ كاتب  ال+ صحفي  انور  ال+ هواري  ضيف  يوسف  ال+ حسيني  في  ال+ ساده  ال+ محترمون
0, اكتب  عباره  علي +ي باب  قلب +ك فراق  وجه +ك ضيق  و+ مواجه +ك عيد  و+ ال+ وقت  قاسي  و+ ال+ تقاليد  قشرا
-2, وهاانذا  اجدد  ال+ عرض  مره  اخري  و+ لن  اكل  و+ لن  امل  و+ في  انتظار  حملات  تشويه  اخري  انا  ل +ها ب+ اذن  الله  رقم
-1, اكثر  شعور  يوجع  ل+ ما  تجوع  في  بيت  مو  بيت +كم
-1, رقم  هاتلي  اخوان  اي  حاجه  مش  تنوين  و+ مش  ضمير  اخوان  و+ بعد +ها كلمه  مش  هتلاقي  غير  لوط  و+ شياطين
-2, مرت  سنتين  و  اكثر  علي  فراق +هم و  انت  اعدت  فقط  نصف  حق +هم افرح  ان +ك اعدت  ال+ بسمه  ل+ وجوه  اهل +هم رقم  مذبحه  بورسعيد
-2, تيتو  فيلانوفا  اول  سنه  تدريب  حقق  ال  رقم  نقطه  و+ لم  يتحدث  عن +ها ال+ كثير  مورينيو  زليون  سنه  تدريب  و+ يلقب  ب  سبيشل  ون  حقق  ال  رقم  قالو
-2, ميثاق  ال+ شرف  ال+ انتخابي  وقع  علي +ه معظم  مرشحي  ال+ داءره  و+ هدف +ه ال+ بعد  عن  ال+ دعايه  ال+ سلبيه  و+ حملات  ال+ تشهير  و  ال+ دعايه  ال+ ايجابيه  ل+ ال+ برنامج  و+ ال+ مرشح
1, عايز  تكون  عضو  في  حمل +ه ال+ مشير  السيسي  سهل  جدا  ساعد +نا ان +نا نعمل  مليون  شير  س+ انتخب  السيسي
-2, ال+ شروق  ال+ مستشار  عبدالمجيد  محمود  يعتزم  تقديم  استقاله +ه خلال  ايام  ال+ ناءب  ال+ عام
-1, ال+ ماظه  ل+ ابد  من  معايره  ال+ عدادات  و+ توحيد  ال+ تعريفه  ل+ كل  القاطنينالتقديرات  الجزافيه  ظلم  و+ ل+ ابد  ان  تتوقف
-2, هل  يمكن  ان  نترك  ال+ ثوره  تنكسر  خوفا  من  ان  يستغل  ال+ اخوان  ال+ نصر  ل+ صالح +هم ام  واجب +نا ان  ننصر  ال+ ثوره  ثم  نحمي  ال+ نصر  من  ال+ استغلال  سءال  اوجه +ه ل+ ال+ جميع
-2, من  سنن  التي  تفعل  في  وضع  التشهد  وضع  ال+ يدين  علي  ال+ فخذين  ال+ يمني  علي  ال+ يمني  و+ ال+ يسري  علي  ال+ يسري  مبسوطه +ي ال+ اصابع  مضمومتين  نشر  سيره +ه
-2, كلام  ال+ ناس  لا  بيقدم  و+ لا  ياخر  كلام  ال+ ناس  عن  ال+ نيزك  مش  اكتر
-2, هل  هناك  فرق  بين  ال+ فاشيه  ال+ عسكريه  و+ ال+ فاشيه  ال+ دينيه  د  علاء  الاسواني  يكتب  كيف  نتحرر  من  ال+ فاشيه
1, جمهوريه  مصر  ال+ طبيعيه  جمهوريه  ديمقراطيه  حقيقيه  جمهوريه  مدنيه  تحمي  حقوق  ال+ مواطنه  و  ال+ مساواه  و  ال+ عدل
-2, سنن  قبل  ال+ نوم  قبل  نوم +ك ضع  يد +ك ال+ يمني  تحت  خد +ك ال+ ايمن  و+ قل  اللهم  قن +ي عذاب +ك يوم  تبعث  عباد +ك ثلاث  مرات
-2, لا  زياده  في  اسعار  ال+ بنزين  و  ال+ كهرباء  و+ ال+ سلع  ال+ غذاءيه
-2, شبشب  ابوصباع  ال+ شبشب  كان  مضبوط  بس  ال+ صباع  كان  كبير  شويه
-2, ملتقي  ال+ وسط  ال+ شهري  بلال  فضل  ضيفا  رقم  رقم  ال+ ساعه  رقم  في  ساقيه  الصاوي  قاعه  ال+ كلمه
1, كنت  اكره  ال+ قراءه  و  حول +ني الي  مهوس +ه ب +ها حولت  ال+ بيت  الي  معرض  ال+ كتاب  ممتنه  ل +ك جدا  استاذي
-2, دعاء  ال+ خروج  من  ال+ بيت  يقدم  ال+ رجل  ال+ يمني  ب+ سم  الله  توكلت  علي  الله  لا  حول  و+ لا  قوه  الا  ب+ الله  ادعيه
-2, تابعوالان  نقطه  لقاءمع  يوسف  ال+ حسيني  دمجدي  عبد  ال+ حميد  ال+ منسق  ال+ عام  ل+ لجنه  ال+ شعبيه  ال+ مشاركه  في  اعداد  ال+ دستور
-2, و+ يضرب  ال+ رب  مصر  ضاربا  ف+ شافيا  نبوءه  خلاص  مصر  و+ سوريا  و+ ظهور  ال+ منتظر  محمد  محمود  ال+ شرطه  ال+ مصريه
-2, عرض  ال+ اسبوع  رقم  الف  متابع  شوارع +نا فن  تتقن +ه ال+ نساء  ذلك  ال+ شخص  شي  ود +ك تجربه  بوح  درر  عجب +ني حلو  مكه  رقم
-2, اوعي  تنسي  رقم  رقم
-2, ال+ ثوره  ال+ عراقيه  هروب  ضابط  استخبارات  ال+ فوج  ال+ خامس  في  جهاز  مكافحه  ال+ ارهاب  ال+ مقدم  حسين  محجوب  عبد  ال+ امير
-2, محدش  عند +ه ضحكه  سلف
-2, مصطفي  حسني  استغفر  الله  عدد  حبات  ال+ مطر  استغفر  الله  عدد  ال+ رمل
-2, هل  يحضر  ال+ رءيس  ال+ مخلوع  جلسه  ال+ محاكمه  ال+ يوم  شاركنا  ب+ راي +ك ال+ ليله  في  اخر  كلام  عبر  صفحه +نا
-1, الاسوانيماذا  فعلوا  ال+ اخوان  رداعلي  سحل  فتاه  و+ تعريه +ها و+ قتل  ال+ عشرات  من  قبل  ال+ عسكر  الذين  كانوا  متحالفين  مع +هم انذاك
-2, ال+ مشير  السيسي  يزور  ال+ كاتدراءيه  ال+ مرقسيه  و+ يهنء  ال+ اخوه  ال+ اقباط  بعيد  ال+ قيامه  ال+ مجيد
-1, حريه  ال+ تعبير  لا  تتضمن  ال+ تحريض  علي  ال+ عنف  و  ال+ فتنه  ال+ طاءفيه  بل  هو  خطاب  كراهيه
-1, قصدي  كان  موجه  ل+ كذب +ك ان +ي ما  ك+ نتش  هناك
1, محبين  ال+ برنامج  بيزيدوا
-1, مرسي  فتح  علي  نفس +ه فتوح +ه ضن +ك ب+ ذات +ه ال+ رءاسيه  دي  ده  في +ه ناس  هيبقي  كيفها  ال+ شتيمه  بعد  كد +ه
-2, تشيلسي  س+ يدخل  تدريب  صباحي  ال+ يوم  ب+ تواجد  هازارد  و  ايتو  ولويز  وراميريز  بعد  غياب +هم ب+ ال+ امس  و+ لم  يتبين  دخول  تيري  ل+ ال+ تدريبات  تش
-2, متي  نري  تحليلا  سوسيولوجيا  متعمقا  يليق  ب+ هذه  ال+ اغنيه  و+ تلخيص +ها ل+ احوال +نا و+ طريقه +نا ال+ فريده  في  ال+ مزج  بين  ال+ حزن  و+ ال+ عبث
-2, فولورز  عفركوش  بيعملو  فولو  ل+ بعض  فولو  باك
1, لا  ابدا  انا  مسرور  من  كلام +ك
-2, عاجل  تاجيل  محاكمه  مرسي  و  رقم  اخرين  في  قضيه  احداث  ال+ اتحاديه  الي  جلسه  رقم  مايو  ال+ مقبل  سوو
-2, ال+ قاهره  حمله  امنيه  استهدفت  ال+ بءر  ال+ اجراميه  ب+ دواءر  اقسام  شرطه  مصر  ال+ قديمه  ال+ معادي  دار  ال+ سلام  كميه  من
-2, انا  عايز  اعرف  هو  ايه  ال+ جنيه  ده  مصر  ال+ ليله
-2, حازم  عبد  ال+ عظيم  و+ هو  بيرد  عليا  علي  تويتر  ايام  حكم  مرسي  ويقولي  ال+ جيش  يدخل  ل+ يحل  و+ ليس  ل+ يح +كم و+ حازم  دلوقتي  في
-2, وقعنا  علي  طلب  ل+ محاسبه  ال+ ناءب  مصطفي  بكري  علي  اهانه  ال+ برادعي  ك+ مواطن  مصري  داخل  ال+ مجلس  و+ اتهام +ه بالخبانه
-1, بكري  قبل  مايستقيل  خد  معي +ه ال+ ميكروفون  البيتبكري  متن  خد  غرض +ه من  ال+ مجلس
-2, عمرو  سلامه  ل+ ما  اعمل  فيلم  اخد  موافقه  مين
-2, علاء  الاسواني  يروي  عن  شباب  ال+ ثوره  ال+ مصريين  ما  كانوش  كفار  قبل  ما  يحكم +هم ال+ اخوان  ال+ مقال  كاملا
1, و+ كامل  ال+ احترام  ل  عباس  ال+ لي  مسك  لسان +ه و+ ما  شتمش
-2, ال+ يوم  ال+ سابع  استاذ  ب+ حقوق  ال+ قاهره  تشرفت  ب+ ال+ تدريس  ل+ ال+ رءيس  عدلي  منصور
1, خلق  جميل  نقول  ال+ حمد  ل+ الله  علي  كل  حاجه  لان  رب +نا مش  بيعمل  حاجه  وحشه  ابدا
-2, سبع  دروس  مستفاد +ه خرج +نا ب +ها من  حلقه  دردشه  تيوب  التي  اذيعت  ال+ احد  ال+ ماضي  عن  اهتمامات  ال+ شباب  ال+ عربي  علي  ال+ انترنت
-2, مفيش  ولد  مش  بي  ب  ال+ بنات  بس  في +ه راجل  اقتنع  ان  وا  ده  بس  مكفياه  اعقل  مجنون +ه
-2, مءتمر  ال+ دفاع  عن  ال+ دستور  يوم  ال+ احد  رقم  سبتمبر  في  ال+ ساعه  رقم  مساء  ساقيه  الصاوي  نرجو  ال+ حضور  و+ نشر  ال+ دعوه
0, سخريه  ال+ قدر  ان  ال+ اخوان  ب+ ارهاب +هم حينجحوا  السيسي  و  ال+ دوله  ب+ غباء +ها حتنجح  حمدين  مصر  رقم  رقم  ابريل
-1, و+ يبقي  داءما  ال+ سءال  ل+ ما  انت  جامد  قوي  و+ مفترض  ان  ال+ معارضين  بيموتوا  ب+ غيظ +هم شاغل  نفس +ك بيهم  ليه  ما  بتستمتعش  ب+ حلاوه  انجازاتكالاجابه  ان +ك فاشل
-2, هدف  ال+ مصري  في  مرمي  ال+ منيا  ل+ ايهاب  ال+ مصري  في  ال+ دقيقه  رقم  من  ال+ مباراه
-2, رصد  قريه  ال+ خياطه  ب+ محافظه  دمياط  تحتفل  في  ال+ واحده  صباحا  ب+ خروج  اثنين  من  رقم
0, اكتر  شيء  يهم +ني معرفه +ه هل  ده  مشروع  استقلال  حقيقي  و+ لا  كارت  مفاوضات  في  نفس  ال+ توكيل
-2, رصد  خاص  اولتراس  جامعه  حلوان  يجوب  ال+ جامعه  قبل  بدء  فعاليه  مولد  سيد +ك السيسي
-1, رقم  ج  و+ انعت  ال+ رءيس  بعد  ال+ حشد  ال+ مذهبي  و+ ال+ طاءفي  ب+ رءيس  التكفيريين  ال+ منتخب  يمتنع  تشويه  موقف +ي و+ تحويل +ه ب+ عبث  الي  اي  شيء  غير  رفض  ال+ مذهبيه  و+ ال+ تكفير
-2, سعد  نبيهه
-2, طفل  زملكاوي  عقب  مباراه  بتروجيت
-2, ال+ هتافات  تتصاعد  في  ال+ محله  ضد  ال+ اعلان  ال+ دستوري  و+ ال+ رءيس  مرسي
1, ال+ ناس  لازم  تحس  ان  رقم  يونيو  جت  علي +هم بفايده  علي  ال+ مستوي  ال+ اقتصادي  والاجتماعييوسف  ال+ حسيني  نقطه  لقاء  مص
-2, اصابه  سيده  في  مشاجره  بين  شيخ  بلد  و+ مساعد  شرطه  ب+ ال+ اسلحه  ال+ ناريه  ب  بني  سويف  مصر  ال+ تفاصيل  علي
1, خاف  ال+ نظام  من +ه ف+ ضيع  عينهكمل  تحقيق  حلم +ه فاعتقلوهخرج  و  كمل  طريق +ه ف+ قتلوا +ه ب+ اسم  محسن  حكايه  ثوره
-2, ال+ كويت  ال+ سعوديه  ال+ بحرين  قطر  امارات  عمان  ال+ عراق  مصر  تونس  ال+ جزاءر  ال+ مغرب  اردن  ال+ سودان  لبنان  رقم
-2, اتقي  رب +نا ف+ يا  ب+ زياده  حس  بيا  ل+ وزير  ال+ تربيه  و+ ال+ تعليم  ثانويه  عامه
-2, هامش  ل+ ال+ ديمقراطيه  طيور  ال+ ظلام  و+ اصوات  ال+ ديمقراطيه  في  صحف  و+ حوليات  ال+ تاريخ  عمرو  حمزاوي  بوابه  ال+ شروق
-2, ال+ لي  عايز  يساعد  غزه  محتاجين  جراحين  مخ  واعصاباوعيه  دمويه  عظام  ال+ سفر  ب+ معرفه  اتحاد  الاطباءالعرب  ال+ تواصل  مع  دهشام
-2, مقال  دعمرو  حمزاوي  جريده  ال+ وطن  مبادره  ل+ ال+ خروج  من  ال+ ازمه
-1, د  ابو  ال+ فتوح  ال+ حكومه  ال+ اسراءيليه  تطيل  امد  ال+ صراع  مع  ال+ فلسطينيين  ان +ه لا  يمكن +هم ال+ استمرار  و  ال+ تماسك  ب+ دون  هذا
-2, شاهد  د  جلال  امين  ضيف  اخر  كلام  في  محاوله  ل+ شرح  ما  يحدث  ل+ ال+ مصريين  ال+ ان
-2, مع  حفظ  ال+ القاب  من +ي الطحاوي  و+ سامح  موريس  و+ خالد  حنفي  و+ محمد  ال+ عدل  و+ ب+ سمه  و+ نادر  ال+ سيد  و+ مصطفي  سعيد  في  اخر  كلام  رقم  م
1, النهارده  في  تحقيق  استقصاءي  عبقري  عن  ال+ فساد  في  ال+ بورصه  في  المصريللاسف  هيتوا +ه في  زحمه  ال+ احداث
-2, و+ اخيرا  بعد  غياب  رقم  اسابيع  يعود  قطع  ال+ نور  من  جديد  ال+ نور  قطع
-1, استمرار  ال+ حراك  ال+ طلابي  ب  جامعه  ال+ منصوره  مفيش  عساكر  يحكموا +نا
-2, يوميات  انسان  سوري  هذه  ال+ صور  اصبحت  من  ابجديات  ال+ حياه  في  سوريا  و+ يبدوا  ان  ال+ عالم  اعتاد  علي +ها و+ الف +ها حمص  حلب
-2, قريه  ال+ هلال  ال+ احمر  باسوانمرافق  كامله  متكامله  مع  ايقاف  ال+ تشغيل  ال+ ساده  ال+ محترمون
-2, نعتذر  عن  تاجيل  ال+ ملتقي  ال+ شهري  ل+ ال+ وسط  و+ كان  مفترض  استضاف +ه ال+ مستشار  ال+ بشري  ل+ ظروف  خاص +ه
-1, رقم  اكبر  معوقه  و+ خازوق  اخذنا +ه كان  من  ال+ اخوان  انا  شايف  كد +ه و+ ال+ يوم  يجب  ان  نكمل  ال+ مشوار  دون +هم
-1, ال+ راجل  بتاع  ال+ امن  بينف  ب+ معدل  نفتين  كل  رقم  دقايق  فتح +نا ال+ شبابيك  عشان  السقعه  راحت  و+ اشتكينا  مرارا  و+ تكرارا  لي +ه عموم  ال+ شعب  معفن
-2, هذا  هو  حال  جمهور  ال+ هلال  و+ هو  يناضر  جمهور  ال+ نصر  يحتفل  ب+ ال+ كاس  ال+ نصر  ال+ هلال
-1, حظ  ال+ عوالم  ال+ اهلي  ال+ افريقي
-2, ال+ اسماء  ال+ مقدمه  من  وفد  ال+ امهات  هي  ل+ اشخاص  كانوا  في  محيط  ال+ داخليه  و+ هناك  ب+ ال+ تاكيد  تشابه  في  ال+ اسماء  هاني  لوقا  ال+ مقصود  اخذ  من  حول  ال+ داخليه
-1, منهج  ال+ انقلاب  قتل  و+ قمع  و+ سجن  اي  معارض  اعلام  فاسد  و+ قضاء  مسيس  ارتفاع  ل+ ال+ اسعار  و+ اقتصاد  ينهار  عزله  دوليه  و+ شحاته  خليجيه
1, ال+ كلاب  اوفياء  رجاء  عدم  اهانه +هم
-2, اسم  ال+ باشا  ايه
0, رقم  ال+ شريعه  و+ احكام +ها كتبت  بعد  وفاه  ال+ رسول  و+ ل+ ذلك  غلط  تربط +ها ب+ شخص +ه مش  خوف  و+ لكن  حرص  علي  ان  ال+ معلومه  تكون  صح
-2, انظر  الي  خريطه  افريقيا  س+ تجد +ها مثلث  ل +ه رقم  رءوس  هي  مصر  ال+ مغرب  و  جنوب  افريقيا  هذه  هي  ال+ بوابات  ال+ ثلاثه  ل+ افريقيا  اما
-2, بنت  بتقلد  مايكل  جاكسون  عل  ال+ طريقه  ال+ مصريه  مسخر +ه حط  نيزك  في  فيلم  ال+ نيزك  رقم  اعترا
-1, رقم  رقم  قتلي  و+ اكثر  من  رقم  مصاب  في  محافظات  مختلفه  هذه  مقدمات  ك+ ارثيه  ل+ اقتتال  اهلي  حذرت  من +ه دوما  و+ ينبغي  رفض +ه و+ مواجهه +ه كل  ال+ دم  ا
-2, ال+ تيار  ال+ شعبي  ال+ مصري
-2, رقم  اصحي  من  ال+ نوم  رقم  افتح  ال+ ملزمه  اتنح  رقم  اقفل +ها ازهق  رقم  اقوم  انام  تاني  ثانويه
-1, نفس +ي في +ه و  تفوو  علي +ه ف+ يفي  عبده
-2, مصطفي  جلال  كاتب  علر  جدار  زنزانه  امن  ال+ دوله  ل+ ال+ ذكري  ال+ خالده  مصطفي  جلال  صيدله  ال+ منصوره  رقم  عبث  ال+ حريه  ل+ طلاب  صيدله  ال+ منصوره
-2, ال+ رساله  رقم  رقم  من  ال+ جزء  ال+ اول  ل+ كتاب  رساءل  سجين  سياسي  الي  حبيبه +ه
1, اعجب +ني فيديو  علي  صاحبه  ال+ سعاده  ابراهيم  عيسي  ال+ واقع
1, رقم  الله  يبارك  في +ك الحمدلله  شدو  ال+ رحال  من  لندن  الي  ليفربول  كانو  واثقين  خلف +هم ال+ عظيم  مورينهو  صيعري  صحافه  اعلام
