sentiment,txt
0, و+ الله  ما  يحرر  عزبت  ب+ نقالي +ه
0, 58  ثانيه  كان +ه جورج  و+ سوف  و+ هو  في  ال+ حمام  مع +ه اسهال  تكرمون  جميعا
1, ال+ وفاء  اصبح  شء  نادر  يكاد  يكون  معدوم
0, قمه  ال+ تخلف  و+ ال+ انحطاط
1, ربنا  يستر  و+ اخلاق  المتاسلمين  لا  ترجع +ه مره  اخري
1, الله  يعين  ال+ جميع
1, الله  يزيد +ك من  ال+ علم  ما  تنتفع  ب +ه الام +ه
1, ال+ مهم  ال+ دعاء  في  ال+ سجود  حتي  تغسل  عيني +ك ال+ دموع
1, في  ناس  كتيرربناكرمهابنعمه  ال+ اسلام  ولكنهالاتدرك  قيمه +ها
0, متي  يجي  .  .  عام  2050  عشان  ادخل  رجلي  مع  ال+ شاشه  و+ احط +ها ب+ فم +ك
0, ال+ تقدم  و  ال+ ازدهار  يكون  مرتبط  ب+ قواعد  ال+ امن  قبل  ال+ شروع  في  بناء  ال+ مفاعل  علي +كم قراءه  ال+ تقارير  ال+ صادره  عن  هيءه  ال+ طاقه  و  ال+ مخاطر  التي  س+ يجني +ها ال+ اردن  جراء  انشاء  ال+ مفاعل  يا  عزيزي  ديمونه  انتهي  عمر +ه و+ س+ يكون  ال+ مفاعل  ال+ اردني  بديل  في  ارض  س+ تكون  مكبا  ل+ ال+ نفايات  ال+ نوويه  ال+ مطلع  الله
1, اللهم  اجعلنا  من +من يتمتعون  ب+ روح  و  ريحان
1, يارب  اعين +ي علي  دكرك  و+ شكر +ك و+ حسن  عباده +ك
0, وقعنا  و+ لا  ما  وقعنا  يللي  بد +هم يعملوا +ه بيعملوه
0, انا  ضد  وجود  ال+ مفاعلات  ال+ نوويه  في  ال+ اردن
1, كلام  بليغ  اللهم  ارزقنا  ال+ زوج  ال+ صالح  من  يعرف  معني  رفقا  ب+ ال+ قوارير
1, اللهم  اعنا  علي  انفس +نا و  اجعلنا  نري  ال+ دنيا  صغيره  و  ال+ اخره  كبير
0, كلاب  بتعوي
0, عيب  عليكوا  تقارنوا  وحده  زي  دي  ب+ ال+ مصحف  الي  هوا  كلام  رب +نا
1, عمل  ال+ سريره  هو  ال+ عمل  ال+ خالص  ل+ الله  اللهم  ارزقنا  عمل  ال+ سريره
1, اللهم  اكثر  من  امثال +هم
1, اللهم  قو  ايمان +نا ل+ نكون  اصحاب  عزيمه  و  قرار
1, ال+ اسلام  هو  حسن  ال+ خلق  الا +لا تعرف  ب+ ان  ال+ حبيب  صلي  الله  علي +ه و  سلم  لقب  امينا  قبل  نزول  ال+ وحي
0," ال+ جيل  الي  هيحرر  فلسطين  شوفه  في  سوريا  يقاتل  ال+ علويين  ال+ كلاب  لكن  ربي  يعلم +هم فنون  ال+ قتال  و+ يربي +هم ,  ,"
0, و  الي  اسماء  ال+ اسد  :  كس  اخت  زوج +ك :  )
0, احلي  زباله  ب+ وجه +ك
0, احسن  من  هيك  رءيس  وزراء  ما  في
1, اهلا  و+ سهلا  بك  بين +نا يا  طارق
1, يارب  اجعلني  من  ال+ مصلحين
0, خساره  في +ك اسم +ك :
0, اللهم  انا  نشكو  الي +ك ضعف  قوه +نا و  قله  حيله +نا حسب +نا الله  و  نعم  ال+ وكيل
0, سبحان  الله  غصبن  علي  الي  مايرضي  ود +هم يروحون  ال+ نار  حتي  ب+ ال+ حرام  موفالحين
0, ما  ازنخك  انت  و  مقالات +ك
0, ال+ عجوز  هذا  و+ ال+ رجال  الي  ب+ جنب +ه بل +ه و+ اغبياء  و+ ان +هم يثبطون  ال+ واحد
0, من  اجل  هذا  تم  قدوم  20  الف  من  ال+ جيش  ال+ امريكي
0, برنامج  قديم
1, ربنا  يباركلك  يا  استاذي  و  يعز +ك
0, مين  بضل  يشيل  ال+ شبشب  من  جمبي
1, ال+ هم  اصلح  بنات  ال+ مسلمين
0, صوت +ه مر +ه منبح  احس +ه تعبان  عاد  زبدوله  مابقي  الا  يطلع  بعد  شوي
1, اللهم  ثبتنا  وثبه +ه علي  دين +ك ال+ حنيف  و+ سنه  نبي +ك
0, الله  اكبر  علي  كل  ظالم
1, اللهم  اهدنا  ل+ كل  عمل  يقرب +نا ال+ لي  حب +ك
0, لو  يطلع  علي +هم 10  من  مخيم  اربد  و  10  من  مخيم  ال+ حصن  و  20  من  مخيم  الزرقا  و  30  من  مخيم  عمان  و  20  من  مخيم  ال+ بلقاء  و  20  من  مخيم  ال+ شهيد  عزم +ي ال+ مفتي  بفضحو  عرضاتهم  كل +هم
1, انت  مو  انت  و  انت  جوعان  كل  شوكولاته  و  افرح
1, الله  اكبر  و+ ل+ الله  ال+ حمد
0, بس  انا  دايم  احس +ها خشنه  و  رجال
1, اللهم  اصلح  حال +ي و  احفظ +ني و  نور  قلب +ي و  اجعل  طريق  ال+ خير  طريق +ي و  اجعل  عمل +ي خالصا  ل+ وجه +ك ال+ كريم  و  توب  علي  و  اغفر  ل +ي زلات +ي
1, اللهم  ثبت  قلوب +نا علي  ال+ ايمان
1, ال+ حمد  ل+ الله  ال+ حمد  ل+ الله  ال+ حمد  ل+ الله  لن  يسع +نا ال+ كون  حمدا  و  شكرا  ف+ فضل +ك رب +ي اعظم  و  انت  رب +نا ال+ اكرم
1, الحمدلله  من  كل  ضيق  اسجد  ل+ الله  احس  ان  في  اعل +ه مستوا  و+ انسا  و+ اتذلل  الي  الله  ل+ يحمي +ني من  فتن  ال+ دنيا  و+ احسن  منزل +ي في  ال+ جنه
1, هذه  من  اقوال  ال+ رفيق  ال+ مناضل
0, طول  عمري  ب+ خاف  من  العوب  ال+ عب
1, لا  تحزن  ال+ دنيا  ما  في +ها اشي  تحزن  علي +ه
1," سعاده +نا تكون  ب+ حسن  ال+ استمتاع  ب+ ال+ اشياء  التي  نحصل  ,  علي +ها كما  تكون  ب+ حسن  ال+ استغناء  عن  ال+ اشياء  التي  نحرم  من +ها"
0, مهزله
1, بارك  الله  ل +كما و+ بار +ك علي +كما و+ جمع  بين +كما علي  خير
1, الله  يستر  علي  بنات  ال+ مسلمين  جميعا
0, طول  عمر  ب+ خاف  ان  امثال +ك يصبحوا  مطربين
1, نفس +ي اروح  عمره  و+ اشوف  ال+ كعبه
0, و+ الله  ان +ك مسخر +ه يا  عجوز
0, اظن  ان +هم حبو  و+ انجرحوا  و+ ضاعت  عقول +هم و+ ما  دخل  قلوب +هم الا  اغاني  ال+ جروح  عشان  كذا  حافظينها  وجايين  يقولون +ها .  .  اللهم  لاشماته
0, بس  مقز
0, هذه  رويدا  عطيه  يا  الخبوول
0, ال+ لي  موافق  عالمفاعل  يبني +ه جنب  دار +ه .  .  .  ما  يسطح  ال+ واحد  غير  ال+ متحذلقين  ال+ لي  يخلوا  حال +هم مثل  ابو  ال+ عريف  ما  حد  يفهم  غير +هم .  .  .  .  رابع  افقر  دول +ه في  ال+ عالم  في  ال+ مياه  و+ تبني  مفاعل  نووي  !  !  !  استنوا  ل+ ما  يطورو  مفاعلات  نوويه  صحراويه  و+ بعدين  اشطحوا
1, ماشاء  الله  علي +كم ب+ جد  موضوع  مهم  جدا  و+ ال+ اهم  ال+ رقي  ال+ راءع  في  ال+ حوار
1, ضع  امنيات +كم في  سجد +ه انسا +ها و+ تاكد  ان  الله  لن  ينسا +ها ابدا
1, انا  مش  عارفه  كيف  ابدا  حياه +ي
0, اقرفني  شعر  تقول  حاط  دبر  امل  وجاي
0, يخرب  زوءك
0, ال+ تاسعه  تبي  تكسر  الكميرا
0, ياخساره  ال+ عروبه  في +ك
0, اخر  واحد  مهستر
0, مش  طبيعي  سماكه  ال+ دم  شو  ها  عدول +ه خرب  المفطع  ل+ شو  ال+ مبالغه  و+ ال+ اوفر  يعني
1, ال+ ابتسامه  كلم +ه طيب +ه ب+ غير  حروف
0," ""  ل+ ال+ اسف  ال+ بعض  يعتقد  ان  ال+ مفاعل  ال+ نووي  س+ يحل  مشاكل +نا ال+ اقتصاديه  و+ لكن  ال+ اردن  لا  يمتلك  موارد  ماليه  و+ هذا  يعني  ال+ حاجه  ل+ شريك  اجنبي  ""  ""  كما  اعلنت  هيءه  ال+ طاقه  ""  ""  يملك  غالبيه  ال+ اسهم  كما  في  تركيا  علي  سبيل  ال+ مثال  و+ ذلك  يعني  ان  هذا  ال+ شريك  س+ يمتلك  ال+ جزء  ال+ اكبر  من  ال+ مفاعل  و+ لن  يكون  ملك  ل+ ال+ اردن  و+ ب+ ال+ تالي  س+ تقوم  ال+ حكومه  ايضا  ب+ دفع  تكاليف  ال+ كهرباء  ل+ ال+ مستثمر  و+ ب+ ال+ تالي  ال+ مفاعل  ال+ نووي  لن  يوفر  ل +ك ال+ كهرباء  ب+ سعر  قليل  """
0, ال+ سلام  علي +كم ال+ حقيقه  انا  لا  اعرف  شو  و+ قاحه  هاي  ال+ لجنه  ال+ مشترك  يعطي  ما  عند +ه من  مواهب  هذا  ما  عند +ه و+ هم  يعطون  ما  عندهمما
1, اسعد  الله  صباح +كم علامه +نا ب+ ال+ خيرات
0, مسخر +ه
1, متخافش  يامءمن  قول  يارب  و+ حب  رب +ك ده  هو  ال+ لي  خلق  ال+ نعمه  ال+ لي  انت  متعلق  بيها  يعني  هو  اعظم  من  ال+ نعمه  دي  و+ انت  عارف  كد +ه
0, دم +هم ثقيل
0," ""  ل+ ال+ اسف  ال+ بعض  يعتقد  ان  ال+ مفاعل  ال+ نووي  س+ يحل  مشاكل +نا ال+ اقتصاديه  و  لكن  ال+ اردن  لا  يمتلك  موارد  ماليه  و  هذا  يعني  ال+ حاجه  ل+ شريك  اجنبي  ""  ""  كما  اعلنت  هيءه  ال+ طاقه  ""  ""  يملك  غالبيه  ال+ اسهم  كما  في  تركيا  علي  سبيل  ال+ مثال  و  ذلك  يعني  ان  هذا  ال+ شريك  س+ يمتلك  ال+ جزء  ال+ اكبر  من  ال+ مفاعل  و  لن  يكون  ملك  ل+ ال+ اردن  و  ب+ ال+ تالي  س+ تقوم  ال+ حكومه  ايضا  ب+ دفع  تكاليف  ال+ كهرباء  ل+ ال+ مستثمر  و  ب+ ال+ تالي  ال+ مفاعل  ال+ نووي  لن  يوفر  ل +ك ال+ كهرباء  ب+ سعر  قليل  """
1, احلي  صباح  من  احلي  شيخ  في  ال+ عالم
0, رهيب  حسن  .  .  .  تعالي  .  .  تعالي
1, بارك  الله  في  دين  ال+ اسلم
1, صباح +كم سعاده  و+ عباده  مقبوله  ان  شاء  الله
1, احب  الله  تعالي  و  رسول +ه ال+ كريم
1, اذا  دم  ال+ بشر  احمر
0, نحن  نرفض  ال+ مفاعل  ال+ نووي
1, الله  يبارك  في +ك و+ مرحبا  يا  اخ +ي في  ال+ اسلام
0, ال+ سماعات  خربت
0, و+ الله  هبل  في  هبل
0, حتي  بالستايل  مقلده  الله  ياخذ  عمر +ه ال+ غبي
1, صدقت  يا  رب  اجعلنا  راضين  ب+ قدر +ك
0, هو  في  حد  اساسا  لسه  بيتابع  ال+ بت  دي  هاي  عنجد  بتقرف
1," ال+ حمد  ل+ الله  اكسجين  يعيد  ل+ ال+ صدر  انفاس +ه ,  ف  تجد +ها ب  ال+ صوت  ال+ سعيد  و  ال+ صوت  المتءاكل  من  ال+ بكاء"
1, و  الله  و  ب+ ال+ نهايه  يكونو  راءعون
0, اللهم  لا  شمات +ه ليش  ياربي  يحرجوا  انفس +هم
1, يارب  عوض +نا خير  من +ما اخذ  من +نا
1, ان +ه غير  مسلم  و+ يعرف  قلب +ه ال+ وفاء  ف+ كيف  حال  ال+ مسلمين  اللهم  ارزق  بنات  ال+ مسلمين  زوجا  طيبا  محبا  مثل +ه
1, علي +ك ب+ تقوي  الله  ان  كنت  غافلا
1, ال+ حمد  ل+ الله  ع  ال+ سلامه
1, كلام  جميل
0, هالانسان  مجنون  لابس  بدله  رياضه  وجاي  يغني  حتي  لو  صوت +ك زين  ال+ لبس  عدل
1," كل +نا ما  انتصرنا  علي  نفس +نا و+ علي  ال+ حاجه  ددي  الي  متعبه +نا و+ مبعده +نا عن  الله  .  ,"
1, قول  يا  رب  و+ خد  قرار
1, و+ ال+ حاجه  الي  انت  بتحبها  دي  هي  مش  اكتر  من  حاجه  زين +ها ال+ شيطان  و+ اقنع +ك ب+ حلاوه +ها بس  هتندم  بعدين
0, انتخب  مين  يا  عم  هي  ناقصه  لبخه  في  ال+ كلام  معتش  الا  ال+ اهبل  ده  كمان  يبقي  رءيس  جمهوريه
1, نحن  نحب +ك في  الله  و  ندعو  ل +ك ب+ ظهر  ال+ غيب
1, و  نعم  ال+ صديق
1, يالله  ارحم  احبه +ي و+ اشف +هم و+ عاف +هم و+ اعف  عن +هم
0, ه  شكلو  عمرو  ماشاف  كاميرا  تصورو
1, صلوا  علي  من  ب+ كي  شوقا  ل+ رءيه +نا
0, برنامج  معوق  و+ مشاركين  معوقين  :  )
0, يلعن  شرف  خواتك
0, خبر  عاجل  يمنع  ل+ جميع  ال+ مجانين  ال+ تقدم  الي  سوبر  ستار
1, صباح  ال+ ورد  و+ ال+ فل
0," ""  ال+ وحيد  الذي  لايتركني  و+ لو  لحظ +ه ""  ""  """
0, يلعن  ام  ال+ لي  ب+ اخر  ال+ مقطع  حق  عدول +ه يا  هو  ثقيل  دم
1, اللهم  اصلح  حال  ال+ مسلمين  و  اجعل +هم من  الرباتين  حتي  نحرج  من +ما نحن  في +ه ان +ه ان  خلصت  ال+ نوايا  صلحت  ال+ اعمال
1, يا  طيبه  ب+ ال+ روح  افتدينا
1, انا  اخدت  قرار  و+ بعدت  عن  معصيه  ل+ الله  و+ قدرت  و+ ربي  وفق +ني
0, وجه  حسن  عزاب
1, جزي +ك الله  خيرا
0, تفو  كس  ام +ك حماره
0, تضرب  من +ك ل+ عدول +ه
1," ما  اضيق  ال+ عيش  لولا  فسحه  ال+ امل  ,  .  .  .  ال+ حمد  ل+ الله"
