Feed,Sentiment
 اسال  الله  ل +ك ال+ اخلاص  يا  حبيب +نا و  اشتاق  و+ الله  ل+ ال+ صلاه  مع +كم و+ اسال  ال+ كريم  ان  يعيد +كم الي  منبر +كم كل  عام  و+ انت  في  خير  و+ ب+ خير,Positive
 اسال  من  ب+ يد +ه ملكوت  ال+ سماوات  و+ ال+ ارض  ان  ييسر  ل +كم امور +كم و+ يرفع  قدر +كم و+ يعلي  شان +كم و+ يبارك  ل +كم فيما  اعطي +كم و+ يصرف  عن +كم ما  اذي +كم,Positive
 استاذ  عمرو  يا  ريت  شويه  تركيز  علي  اخوه +نا في  بورما  ان +هم يتعرضوا  ل+ حرب  حقيقي +ه,Positive
 استاذ  غاوي  غاوي  اذا  كنت  غاوي  ال+ مسخره  روح  اشتغل  كراكوز,Negative
 استخفف  من  لجن +ه ال+ تحكيم,Negative
 استعينوا  ب+ الله  يا  مسلمين,Positive
 استغفر  الله  مجانين  يروحون  سوبر  ستار,Negative
 استهبال  باستهبال,Negative
 استودع +كم الله  الذي  لا  تضيع  وداءع +ه,Positive
 اسخف  لجن +ه تحكيم  شفه +ها ب+ حياتي,Negative
 اسعار  ال+ بنزين  مرتفع +ه في  ال+ مملكه  ال+ اردنيه  ال+ هاشميه  و+ ال+ شعب  اغلب +ه فقير  و+ ماشي +ه ال+ حياه  ب+ دون  اي  مشاكل  لكن  ال+ لي  يقهر +ك ان  ال+ اردن  لا  تنتج  ال+ بنزين,Negative
 اسعد  الله  صباح +كم علامه +نا ب+ ال+ خيرات,Positive
 اسفل  من  بعض +هم,Negative
 اسوء  شعور  ل+ ما  تتاسف  و  تندم  علي  شيء  ما  سويت +ه ل+ ما  كانت  ال+ فرصه  متاح +ه امام +ك .,Negative
 اسوء  شيء  ان  تكذب  ان +ك س+ تبدان  سلسل +ه لا  نهايه  ل +ها من  ال+ اكاذيب  في  ال+ نهايه  س+ تكشف,Positive
 اسوا  شعب  الله  في  ال+ كوميديا,Negative
 اشتقت  ل+ مكه  و  ل+ راءح +ه مكه  و  ل+ ال+ صلاه  في  مكه  اللهم  ارزقني  انا  و  كل  من  اشتاق  الي  مكه  ب+ زيار +ه عاجلا  غير  اجل,Positive
 اشداء  علي  ال+ كفار  رحماء  بين +هم,Positive
 اشرب  من  كاس  ال+ مر,Negative
 اشهد  الله  ان +ي احب +ك في  الله  ادعوا  ان  نحشر  مع  حبيب +نا امام +نا محمد  صلي  الله  علي +ه سلم  في  ال+ جنه  امين,Positive
 اشي  ب+ قهر  مش  لا  هل  درج +ه,Negative
 اصبحنا  اصبح  ال+ ملك  ل+ الله  اللهم  ل +ك ال+ حمد  احييت +نا بعد  ما  متنا  الي +ك ال+ نشور,Positive
 اصدقاء  اوفياء  و+ نتعلم  من +هم,Positive
 اصلا  ابو  وديع  لو  كان  اجا  كان  خسر,Negative
" اصلا  ال+ مغتربين  ماعاد  بد +هم جامعات  ال+ اردن  ,  عل  فكر +ه في  دول  ثانيه  و+ جامعات  ثانيه  اقوي  ,  خلي +ها للذنيبات",Negative
 اصلا  سوبر  ستار  ل+ ال+ عاهات,Negative
 اصلا  كتير  من  ال+ بنات  بد +هن يح +كن مع  ال+ شباب,Negative
 اصلا  هدا  يمسي  مرض  الرهاب  ال+ اجتماعي,Negative
 اصلن  صاحب  ال+ برنامج  ماخذ  شباب  ال+ امه  مصخره,Negative
 اصوات +هم مع  ال+ توتر  خربت,Negative
 اضحك  امام  كل  ال+ ناس  ل+ تسر +هم تجبر  خواطر +هم ف+ تبسم +ك في  وجوه +هم صدق +ه,Positive
 اضحك  تضحكلك  ال+ دني,Positive
 اضحك  وفرفش  لكن  ب+ حب  و+ اداب  اعرف  حدود  ال+ مزح  و+ اعرف  محل +ه,Positive
 اطالب  ب+ رحيل  هذه  ال+ حكومه,Negative
 اطفال  ال+ يوم  رجال  ال+ غد  و+ مستقبل  ال+ امه,Positive
 اطمءن  يا  قلب +ي ف+ رزق +ي لا  ياخذ +ه غيري,Positive
 اظن  ان +هم حبو  و+ انجرحوا  و+ ضاعت  عقول +هم و+ ما  دخل  قلوب +هم الا  اغاني  ال+ جروح  عشان  كذا  حافظينها  وجايين  يقولون +ها اللهم  لاشماته,Negative
 اعطي +ه علي  راس +ي هدا  الصح  ياحاجه  الله  اكبر,Negative
 اعلن  ال+ انسحاب  يا  حمار,Negative
 اعمل  ل+ يوم +ك غد +ك كن  متفاءلا  داءما  يا  صاحبي,Positive
 اعن +كم الله  تقبل  من +كم يسر  طريق +كم,Positive
 اغرورقت  عينا +ي ب+ ال+ دموع,Negative
 افتخر  ان +ي مسلم  نعم +ه من  نعم  رب +ي,Positive
 افشو  ال+ سلام  بين +كم,Positive
 افعال  لا  تضاهي +ها اقوال,Positive
 افلام  ال+ رعب  تاثر  علي  اطفال +نا,Negative
 اقترح  تحويل +هم الي  طبيب  نفس +ي ليس  الي  ال+ قضاء,Negative
 اقرفني  شعر  تقول  حاط  دبر  امل  وجاي,Negative
 اقرفني  و+ الله,Negative
 اقسم  ب+ الله  ان  ال+ عرب  اكثر  ال+ شعوب  تخلفا,Negative
 اقسم  ب+ الله  ان +ه منتهيي,Negative
 اقسم  ب+ الله  قرف  ال+ مريض  نفسيا  ل+ ال+ ابد  يبقي  مريض  نفسيا,Negative
 اقطع  راس +ها و+ خلص,Negative
 اقل  من  عادي  هذا  مستوي +ك اقلب  وجه +ك,Negative
 اكاديمي  ال+ لي  خلفت  عاهات  ل+ ال+ فن  ال+ معاق  حاليا  ف+ يزيدون  ال+ طين  بل +ه,Negative
 اكبر  مشروع  طاق +ه شمسي +ه ب+ ال+ عالم  .  .  .  في  ال+ اردن  اسم +ه شمس  معان  .  .  حفظ  الله  ال+ اردن,Positive
" اكبر  مشكل +ه تواجهكك  في  ال+ اردن  ;  اذا  طلعت  من  ال+ دار  شبعان  ,  بتعرفش  و+ ين  تروح",Negative
 اكثر  بني  ادم  يعاني  في  ال+ حياه  هو  ال+ مغترب  بين  ال+ اردن  و+ ال+ سعوديه  لا  ال+ لي  هنا  ف+ اهين  علي +ه و+ لا  ال+ لي  هناك  و+ ال+ كل  ما  ب+ حبو,Negative
 اكرم +ك الله  يا  استاذ +ي ال+ فاضل,Positive
 اكيد  الله  لا  يحرم +نا من  هالنعمه  ال+ عظيمه,Positive
 اكيد  ب+ قرف,Negative
 اكيد  جزاء +ك الله  خيرا,Positive
 اكيد  حياه +ي ما  في  حدا  ب+ شبه +ك لو  في  كان  نتحرت  زمان,Negative
 اكيد  طبعا  حب  رب +نا احسن  من  حب  اي  حد  و+ انا  فعلا  عملت  كدا,Positive
 اكيد  لا  في  عند +ك ناس  ب+ تفهم  و+ وفي  ناس  عند  ال+ اجانب  ما  ب+ تفهم,Negative
 اكيد  ماحدا  بيقدر  يارب  اعن  ال+ فقراء  و+ اعنا  مساعده +هم,Positive
" ال+ اردن  تعدل  ال+ مناهج  :  تقليصا  في  ال+ استشهاد  بايات  قراني +ه و+ احاديث  نبويه  ,  و+ بدلا  من  ذلك  تم  اعتماد  دروس  اقرب  الي  اخلاق  ال+ حياه  ال+ يوميه  ل+ ال+ طالب",Negative
 الا  لعن +ه الله  علي  ال+ شيعه  الي  يوم  ال+ دين,Negative
 الا  يكفي  ان  نسب +ه مرضي  ال+ سرطان  في  ال+ اردن  اعلي  نسب +ه عالمي +ه ب+ سبب  مفاعل  دايمونه  ال+ اسراءيلي  ب+ كل  جهل  نضعهه  في  بلد +نا,Negative
 ال+ ابتسامه  كلم +ه طيب +ه ب+ دون  حروف,Positive
 ال+ اخلاص  اللهم  انا  نسال +ك ال+ اخلاص  في  ال+ قول  ال+ عمل  ال+ سر  ال+ علن,Positive
 ال+ اردن  كان  افضل  حالا  ب+ مءات  ال+ مرات  في  ال+ تعليم  و  ال+ صحه  و  ال+ زراعه  و  ال+ استثمار  .  .  .  التردي  ليس  مرتبط  ب+ ال+ ربيع  ال+ عربي  بل  قبل +ه ب+ مد +ه عام,Negative
 ال+ اردن  كثير  حلوا +ه من  كل  ال+ نواحي  .  .  طبيعه  و  معالم  و  اثار,Positive
 ال+ اردن  لا  تمتلك  اي  ال+ خبرات  ال+ فنيه  في  انشاء  او  صيانه  او  تشغيل  ال+ مفاعلات  ال+ نوويه  ل+ اردن  ليس  لدي +ها سوي  شهادات  دكتوراه  في  هذا  ال+ مجال  نظري +ه بحه +ه ان  انشاء  مفاعل  نووي  يعني  مقامر +ه كامل +ه ب+ مءات  الملاين  ال+ مضحك  في  ال+ موضوع  ان  ب+ داي +ه ال+ مشروع  س+ تكون  انشاء  مفاعل  تجريبي  او  تعليمي  يتبع  ل+ هيءه  ال+ طاقه  ال+ نوويه  ا+ ليس  ال+ اجدر  بهكذا  مفاعل  ان  يتبع  ل+ احدي  ال+ جامعات  علاوه  علي  ان  كل  هيءه  ال+ طاقه  تم  انشا +ها رضوا +ه ل+ فلان  و+ علنتان  ال+ اولي  يا  ساد +ه ان  يتم  طرح  انشاء  شرك +ه ل+ ال+ تنقيب  عن  ال+ يورانيوم  و+ بيع +ه ل+ تصبح  ال+ اردن  دول +ه مصدر +ه ل+ هذه  ال+ ماده  امر  اخر  كثر  ال+ حديث  مءخرا  عن  ان +ه يوجد  في  ال+ اردن  بترول  ب+ كميات  علي  ال+ اقل  تكفي  استهلكنا  ال+ محلي,Negative
 ال+ اردن  لدي +ه ال+ خبره  في  مجال  اداره  ال+ موارد  ال+ بشريه  و+ استخدام  هذه  ال+ امكانيات  ب+ افضل  مايمكن  ل+ توجيه  اقتصاد  ال+ دوله,Positive
 ال+ اردن  هذا  الي  كل +ه فخر  و+ اعتزاز  ل+ مدح  مشروع  ال+ طاقه  ال+ شمسيه  في  ال+ ديوان  ال+ ملكي  كيف  شعور +ه لو  ال+ مشروع  طاق +ه نوويه  ?  !  شو  علاق +ه ال+ فخر  و+ ال+ اعتزاز  ?  !,Negative
 ال+ ارواح  جنود  مجنده  من  تعارف  من +ها اتلف  و+ من  تنافر  من +ها اختلف,Positive
 ال+ اسف  مافي  اي  حدا  ب+ تحمل  ال+ انتقاد,Negative
 ال+ اسلام  نعم +ه كبير +ه من  عند  رب +نا لا  تقدر  ب+ كنوز  ال+ دنيا  كل +ها,Positive
 ال+ اسلام  هو  حسن  ال+ خلق  الا +لا تعرف  ب+ ان  ال+ حبيب  صلي  الله  علي +ه سلم  لقب  امينا  قبل  نزول  ال+ وحي,Positive
 ال+ اعتداءات  علي  ال+ معلمين  و+ ال+ اطباء  .  .  .  جراءم  لا  تقبل  اي  تبرير,Negative
 ال+ اكل  زاكي  كثير  كثير,Positive
 ال+ انكسار  من  اسوء  ال+ اشياء,Negative
 ال+ اهم  نكون  صادقين  مع  نفس +نا ل+ نكون  صادقين  مع  ال+ اخرين,Positive
 ال+ باقيين  سخاف +ه سماج +ه,Negative
 ال+ برنامج  الي  بعد  سوبر  ستار  الي  يقلد +ه دم  ثقيل,Negative
 ال+ برنامج  فاشل  جدا,Negative
 ال+ بسمه  سر  من  اسرار  ال+ حياه,Positive
 ال+ بقاء  في  ال+ خيال  دمار,Negative
 ال+ بنزين  يجي  من  ال+ سعوديه  ب+ اقل  ال+ اسعار  ال+ حكومه  عند +نا تدبل  سعر +ه,Negative
 ال+ بيت  ال+ لي  في +ه فرح  سعاده  دايما  ب+ كون  متفاءل  سعيد  ب+ حاضر +ه مستقبل +ه,Positive
 ال+ تخلف  ب+ عين  ام +ه و+ عين  ابو  في  جامعات  ال+ اردن  والزعرنه  و+ ال+ فساد  و+ ال+ فسق  و+ ال+ عشق  ال+ ممنوع,Negative
 ال+ تطبيقات  قليل +ه ب+ ال+ متجر  و+ ل+ ازال  امام  مايكروسوفت  عمل  طويل  ل+ ال+ تغلب  علي  هذه  ال+ مشكله,Negative
 التفاءل  حلو  في  ال+ حياه  بس  ال+ اهم  تكون  عايش  مع  ناس  متفاءلين  مش  تكون  ل+ حال +ك ال+ متفاءل,Positive
 ال+ تنفس  ال+ عميق  يوفر  علاج  طبيعي  ل+ ال+ صداع,Positive
 ال+ ثقه  ب+ الله  ثم  ال+ نفس  و+ يارب  اجعلنا  من  يغير  ال+ ناس  الي  ما  ترضي +ه,Positive
" ال+ جمال  :  ليس  فقط  شيءا  نرا +ه بل  هو  شيء  نكتشف +ه ,  روح  جميل +ه ,  و+ فكر  جميل  ,  اخلاق  جميل +ه ,  و+ ادب  جميل",Positive
" ""  ال+ جنه  تحت  اقدام  ال+ امهات  ,  اللهم  اجعل  امهات +نا من  نساء  ال+ جنه  """,Positive
 ال+ جيل  الي  هيحرر  فلسطين  شوفه  في  سوريا  يقاتل  ال+ علويين  ال+ كلاب  لكن  ربي  يعلم +هم فنون  ال+ قتال  و+ يربي +هم,Negative
 ال+ حب  ال+ ان  بقي  تيك  اواي  قليل  اوي  ل+ ما  نلقي  انسان  مخلص  في  حب +ه مع  ان  ال+ حب  ده  اجمل  و+ اسما  عاطف +ه في  ال+ وجود,Positive
 ال+ حب  ال+ حقيقي  عمل +ه نادر +ه فعلا  و+ هو  نعم +ه كبير +ه من  الله  عزوجل,Positive
 ال+ حب  بين  ال+ زوجين  اوسع  ابواب  ال+ سعاده,Positive
 ال+ حب  في  الله  شيء  جميل  جدا,Positive
 ال+ حريه  غالي +ه لن  تجد +ها عند  متسول  اخوان +ي ساذج  لايملك  منطق  و+ ل+ افكر,Negative
 ال+ حق  عالحقير  ال+ لي  نزل  ال+ منشور  ب+ جوز  اهل +ه لابسين  من +هم و+ ل +ك ل+ اتنزل  اشي  زي  هيك  يا,Negative
 ال+ حق  مش  علي  لجن +ه ال+ تحكيم  ال+ حق  علي  الاغبيه  ال+ مشتركين,Negative
 ال+ حكم  سيء,Negative
 ال+ حكومه  قاعد +ه بتخبص  رايحين  يدمروا  ال+ بلد  الله  ينتقم  من +هم,Negative
 ال+ حل  ال+ وحيد  حب  الله  و+ رسول +ه و+ طاعه +هم,Positive
 ال+ حل  ال+ وحيد  هو  ال+ قرب  من  الله  و+ ذكر +ه الا +لا ب+ ذكر  الله  تطمءن  ال+ قلوب  قال  الله  تعالي,Positive
 ال+ حلال  بين  و  ال+ حرام  بين  و+ اتقوا  الله,Positive
 ال+ حمد  الله  علي  ال+ اسلام  يا  رب  اهدي  كل  من  احب  هذا  ال+ دين  و+ كل  من  تردد  في  دخول +ه وارحمنا  جميعا,Positive
 ال+ حمد  انا  متفاءله  جدا  في  كا  امور  حياه +ي ورح  اضل  هيك  داءما,Positive
 ال+ حمد  ل+ الله  اصبح  علي  وجه +ك ال+ مشرق  كل  يوم,Positive
 ال+ حمد  ل+ الله  اكسجين  يعيد  ل+ ال+ صدر  انفاس +ه ف  تجد +ها ال+ صوت  ال+ سعيد  ال+ صوت  المتءاكل  من  ال+ بكاء,Positive
 ال+ حمد  ل+ الله  ال+ حمد  ل+ الله  ال+ حمد  ل+ الله  حمدا  شاكرا  ف+ فضل +ك رب +ي,Positive
 ال+ حمد  ل+ الله  الذي  لا  يحمد  علي  مكر +ه سوي +ه,Positive
 ال+ حمد  ل+ الله  الذي  ب+ نعمه +ه تتم  ال+ صالحات  حمدا  غير  منقطع,Positive
 ال+ حمد  ل+ الله  الذي  رزق +ني ب+ ال+ اسلام,Positive
 ال+ حمد  ل+ الله  الذي  نصر +نا نصرا  مبين,Positive
 ال+ حمد  ل+ الله  رب  ال+ عالمين  علي  عطا +ه رضا,Positive
 ال+ حمد  ل+ الله  علي  نعم +ه ال+ اسلام  و+ كفي  يها  نعم +ه,Positive
 ال+ حمد  ل+ الله  علي  نعم +ه التي  لا  تحصي  ال+ حمد  ل+ الله  الذي  تكفل  ب+ رزق +ي ال+ حمد  ل+ الله  ان +ه رب  يستحق  ال+ حمد  علي  ال+ سراء  ال+ ضراء,Positive
 ال+ حمد  ل+ الله  علي  نعم +ه ال+ عقل  و  سعه  ال+ فهم  و  نضوج  ال+ فكر,Positive
 ال+ حمد  ل+ الله  كلما  اري  ناس  اسلموا  تعم  ال+ فرحه  في  قلب +ي,Positive
 ال+ حمد  ل+ الله  ما  اكرم +ك يا  الله,Positive
 ال+ حمد  ل+ الله  نامل  من  الله  ان  يمن  علي +نا ب+ ال+ هدايه,Positive
 الحمدلله  الذي  هدي +نا ل+ هذا  و+ ما  كنا  ل+ نهتدي  لو  لا  ان  هدي +نا الله  .  لا  اله  ا  لا  الله  محمد  رسول  الله,Positive
 الحمدلله  زادت  ثقافه +ي ل+ كثير  من  ال+ اشياء  و+ تنوعت  ال+ مفاهيم  لدي,Positive
 الحمدلله  علي  ال+ سلامه  وماتشوف  شر  .  .  طهور  و+ قدام +ك ال+ عافيه  ان  شاء  الله,Positive
" الحمدلله  علي  كل  حال  ,  ال+ فرصه  قاءم +ه ,  و+ ال+ قادم  اجمل",Positive
 الحمدلله  من  كل  ضيق  اسجد  ل+ الله  احس  ان  في  اعل +ه مستوا  و+ انسا  و+ اتذلل  الي  الله  ل+ يحمي +ني من  فتن  ال+ دنيا  و+ احسن  منزل +ي في  ال+ جنه,Positive
 الحمدلله  و+ رب +نا يجعل +نا من  المداومين  علي +ها و+ ال+ خاشعين,Positive
 ال+ حياه  مستمر +ه سواء  ضحكت  ام  بكيت,Negative
 ال+ خشوع  احساس  جميل  جد  امام  الله  ال+ قلب  يحب  ال+ دمع  صافي  متع +ه بعد  ال+ صلاه  راح +ه فاءق +ه اتمني  ل+ كل  ال+ مسلمين  هذا  ال+ خشوع,Positive
 ال+ خشوع  امر  مهم  جدا  في  ال+ صلاه,Positive
 ال+ خشوع  هو  ال+ مرحله  ال+ تاليه  ل+ ال+ تركيز  و+ ال+ تركيز  ياتي  ب+ اطاله  ال+ قراءه  و+ ال+ تدبر  و+ اطاله  الركوع  و+ ال+ سجود,Positive
 ال+ دال  علي  ال+ خير  ك+ فاعل +ه,Positive
 ال+ دعوه  مش  ب+ ال+ كلام  بس  ممكن  نكون  دعاه  ب+ اخلاق +نا اسلوب +نا تعامل +نا,Positive
 ال+ دول  ال+ متقدمه  ال+ ان  تتجه  لستخدام  ال+ طاقه  ال+ متجدده  ان +ها اقل  كلف +ه و+ ليس  ل +ها مخاطر  علي  ال+ بيءه  و+ ال+ انسان  و+ نحن  ال+ ان  نعاني  من  ضاءقه  ماليه  كبير +ه و+ شح +ه مياه  شديد +ه و+ كل +نا يعلم  مدي  حاج +ه ال+ مفاعل  ل+ ال+ مياه  اذكر +كم فقط  ب+ ما  حدث  في  ال+ يابان  و+ هي  ال+ دوله  ال+ اكثر  تطور  في  مجال  ال+ تكنولوجيا  و+ هي  عباره  عن  جزر  و+ ك+ ذلك  كم  اثر  علي +نا ال+ مفاعل  ال+ نووي  ال+ اسراءيلي  و+ حالات  ال+ سرطان  ال+ منتشره  و+ لو  لاحظنا  ال+ تشوهات  ال+ خلقيه  ال+ اكثر  في  جنوب  ال+ بلاد,Negative
 ال+ دين  عباره  عن  اخلاق  و+ حسن  ال+ تعامل  مع  ال+ ناس  و+ تهذيب  ال+ نفس  قبل  ما  يكون  مجموع +ه من  ال+ عبادات  !,Positive
 ال+ دين  ليس  ب+ ال+ مظاهر  ال+ دين  ال+ معامله  حياء  و+ ادب  و+ احترام  و+ انتقاء  للالفاض  ال+ طيبه,Positive
 الذي  طبع +ه راءع  ما  يمكن  ان  يتغير  راح  يبق +ه راءع,Positive
 ال+ راجل  الابس  ثوب  علي +ه جاكيت  شكل +ه مسطول  من  جنوب  ال+ سودان,Negative
 ال+ راءع  س+ يظل  راءعا  حتي  نهايه  ال+ عمر,Positive
 ال+ روح  و  ال+ مال  تفدا +ك يا  قلب +ي,Positive
 ال+ زعل  ب+ داي +ه ال+ طريق  ل+ ال+ امراض,Negative
 ال+ سعي  وراء  ال+ رزق  عباد +ه و  جهاد,Positive
 ال+ سلام  علي +كم ال+ حقيقه  انا  لا  اعرف  شو  وقاح +ه هاي  ال+ لجنه  ال+ مشترك  يعطي  ما  عند +ه من  مواهب  هذا  ما  عند +ه و+ هم  يعطون  ما  عندهمما,Negative
 ال+ سهر  احد  مسببات  مرض  ال+ سكر,Negative
 ال+ شعب  الذي  اختار  نواب  خرجين  سجون  سوابق  بستاهل  اكثر  من  هيك  مشان  50  دينار  الله  لا  يرد  هيك  شعب,Negative
 الشو  اسمو  ستار  اكاديمي  و+ لا  ال+ مسخره  عل  ال+ عالم  اكاديمي,Negative
 ال+ صادق  ينتظر  ال+ فرج  و+ لا  يياس  من  روح  الله,Positive
" ال+ ضغوط  ال+ نفسيه  ل +ها تاثير  في  ال+ نهايه  ,  سمعت  قص +ه عن  اشخاص  انتحروا  ب+ سبب  تعليقات  ساخر +ه ضد +هم .",Negative
 ال+ طاقه  ال+ شمسيه  هي  ال+ بديل  و+ ليست  ال+ طاقه  ال+ نوويه,Negative
 ال+ ظاهر  ان +ه جايين  يستهبلون  عالحكام  بس,Negative
 ال+ ظاهر  اهل +ها مفقعين  وجه +ها قبل  ما  تجي  و+ مغطي +ه الفلعات,Negative
 ال+ ظاهر  عقل +ك تافه  من  اصحاب  ال+ عقول  ال+ مقفله,Negative
 ال+ عالم  ال+ عربي  مليان  عاهات,Negative
