text,polarity
 ابراهيم  صلاح  ضحي  ب  مليون  من  ال+ هلال  ال+ سعودي  او  اتحاد  جد +ه و+ اختار  ال+ زمالك  زملكاوي,1
 ال+ شيخ  حازم  ابو  اسماعيل  يرد  علي  فتوي  ب+ رهام +ي ال+ اخيره  فك  الله  اسر +ك يا  بطل  من +ك نتعلم  منهج  ال+ دين  ال+ حق,1
 س+ نسمو  علي  خلافات +نا ال+ سياسيه  و+ ال+ حزبيه  و+ س+ نعلي  فقط  ال+ مصلحه  ال+ وطنيه  س+ تنتصر  ثوره +نا و+ س+ تكون  مصر  قويه  ب+ اذن  الله,1
 الله  ينور  علي +ك يا  دكتور  هو  ده  ال+ تفكير  ال+ لي  عايزينه  مش  كم  مسجد  و+ كم  كنيس +ه,1
 ليس  ب+ مقدور  احد  ان  يعيد  ال+ مصريين  الي  حظيره  ال+ خوف  لقد  ال+ ثوره  كسرت  حاجز  ال+ خوف  الي  ال+ ابد  لن  نتراجع  عن  مطالب  ال+ ثوره  و+ لو  صدر  ضد +نا الف  حكم,1
 نهنء  ال+ دكتور  عبد  ال+ منعم  ابو  ال+ فتوح  ب+ تاسيس  حزب  مصر  ال+ قويه  و+ ندعو  ل +ه ب+ ال+ توفيق  و+ ب+ بان  يكون  هذا  ال+ حزب  خطوا +ه نحو  بناء,1
 ال+ طاقه  ال+ بشريه  اذا  ما  احسن  استغلال +ها هي  رصيدا  و  ليست  عبءا  قوه +نا في  عدد +نا,1
 اولاد  ميت  عقب +ه ال+ زمالك  حب  ال+ ابيض  غير,1
 الف  شكر,1
 ال+ ان  محاضر +ه عن  ال+ صحابي  ال+ جليل  و+ خليفه  رسول  الله  عثمان  بن  عفان  ذو  ال+ نورين  اذاعه  ال+ قران,1
 و+ حيي +ه قلب +ي و+ افراح +ه ال+ شباب  ال+ اهلي,1
 موقف  محترم  حذر  ال+ امير  خالد  بن  طلال  بن  عبد  ال+ عزيز  عضو  ال+ عاءله  ال+ مالكه  ب+ ال+ سعوديه  ان  اجازه  ال+ خروج  علي  ال+ رءيس  مرسي,1
 حالا  ل+ اول  مر +ه في  حياه +ي متشرف  ان +ي اكون  في  مدين +ه ال+ محله  ال+ كبري  ل+ احياء  احد  ال+ افراح  بعد  قليل,1
 و+ لما  تبص  حوالي +ك هتعرف  ان +ك احسن  من  ناس  كتير  عشان  كد +ه لازم  تقول  ال+ حمد  ل+ الله,1
 مال +ه سمك  اسكندريه  يافندم  طب  و+ الله  من  غير  مبالغه  لفيت  ال+ عالم  مالقيت  مثيل +ه و+ اتوسل  اليكي  ماتحطميش  اسطورتي  ال+ خاصه,1
 قدام  بيت +ي ال+ ربيع  ال+ جمال  نيويورك  بيت +ي مبتعث,1
 عدت  من  الاسماعليه  منذ  قليل  بعد  يوم  حافل  ختمت +ه ب+ مءتمر  جماهيري  دفء  مشاعر  اهل  الاسماعليه  هون  برود +ه ال+ جو,1
 احسن  حاج +ه في  اغني +ه ال+ سكه  شمال  هيا  ايه  ايه  ايه  ايه  ال+ لي  امير  بيقولها  قبل  ما  بيغني  علي  طول,1
 فالقي +ه في  اليم  و+ لا  تخافي  و+ لا  تحز +ني انا  رادوا +ه الي +ك و+ جاعلوا +ه من  ال+ مرسلين  هذه  ال+ ايه  تبعث  ال+ امل  ل,1
 ياجعل  درب +ك تساهيل  و+ ال+ فوز  فال +ك ال+ نصر  ال+ شباب  نصراوي  لاتكلمني,1
 انت  قص +ه عشق  لا  يفهم +ها الا  النجوانيون  هلا  فبراير,1
 يتقدم  ال+ شعب  ال+ مصري  ب+ خالص  ال+ شكر  و+ ال+ امتنان  ل+ ال+ مشير  السيسي  ل+ مجهود +ه ال+ جبار  في  حل  ال+ نزاع  ال+ وطني  بين  مرتضي  منصور  و+ احمد  شوبير  هاشتاج,1
 ال+ سنين  ال+ حلوه  ب+ تعدي  قوام  و  انتا  اسم +ك في  ال+ تاريخ  ب+ ال+ نور  مكتوب  ابو  تريكه,1
 ال+ دراما  ال+ مصريه  في  تقدم  مبهر  مسلسل  نيران  صديق +ه راءع  جدا  جدا,1
 كانوا  رجال  مرسي  رءيسي  كانوا  رجال  ال+ شعب  يرد  تحيه  ال+ رءيس  انا  حازم  س+ نحيا  كراما,1
 يا  رب  ل +ك ال+ حمد  ان  جمعت  شمل  اسره +ي,1
 في  ال+ طريق  الي  اسوان  ل+ اول  مر +ه منذ  اكثر  من  عاما  ب+ دعوه  كريم +ه من  ال+ دكتور  مجدي  يعقوب  ل+ حضور  افتتاح  ال+ مبني  ال+ جديد  ب+ مستشفي  ال+ قلب  هناك,1
 يجب  ان  نبدا  حمل +ه توعيه  ل+ حث  ال+ ناس  علي  ال+ تصويت  ب+ كثر +ه لان  ذلك  ف,1
 هلا  فبراير  اليسا  علي  روتا +نا مصري +ه ال+ واحد  كان  مخنوق  و  ف+ رفش,1
 درس  ال+ عربي  في  ال+ ارياف  بيدعيلكوا  محمد  محسن  ومستر  ممدوح  بييدعيلكوا  برد +ه,1
 د  عبد  ال+ منعم  ابو  ال+ فتوح  جمال  عبد  ال+ ناصر  كان  مثل +نا ال+ اعلي  في  شباب +نا و+ حتي  نكس +ه في  برنامج  انت  و+ ضمير +ك علي  قناه  دريم,1
 يهنء  حزب  ال+ وسط  ال+ دكتور  عبد  ال+ فتاح  ماضي  ب+ تعيين +ه رءيسا  ل+ ال+ مجلس  ال+ قومي  ل+ ال+ شباب  و+ يتم +ني ل +ه ال+ توفيق,1
 في  جولتي  ال+ يوم  ب+ مدين +ه بدر  اسعد +ني ب+ شد +ه لقاء  ال+ مواطنين  من  عمال  ال+ مصانع  الذين  يمثلون  قاعد +ه عمالي +ه حقيقي +ه تسهم  ب+ شكل  فعال  في  تنميه  ال+ داءره,1
 و+ ل+ غايه  ماتبنوا  الكنايس  جوامع +نا و+ بيوت +نا و+ قلوب +نا و+ عيون +نا مفتوح +ه ليكوا  تنوروا +ها و+ تنوروا +نا,1
 كما  تهم +نا مصر  تعني +نا دمشق  و+ كما  تشقي +نا غزه  تقتل +نا بغداد  و+ كما  نحب  ال+ يمن  نخشي  علي  ليبيا  اما  قطر  ف+ هي  سيد +ه ال+ نهوض  و,1
 نحيي  شباب  حزب  ال+ وسط  علي  مجهود +هم ال+ راءع  في  ال+ انتخابات  و+ الذي  كان  سببا  في  حصول  ال+ حزب  علي  ما  يقرب  من  مليون  صوت  من +من صوتوا  ل +نا عن  اقتناع,1
 متحمسين  جدا  ل+ ال+ شخصيه  ال+ جديده  علي  حمد  ال+ عماني  بعد  نجاح +ه في  شخصي +ه يوسف  في  توالي  ال+ ليل  ال+ جمهور  ما  راح,1
 شكرا  ان  حضره +ك دورت  علي  ال+ معلومه  واقتنعتانا  ليس  ل +ي مصلحه  و+ اكتب  مايرضي  ضميري  و+ ال+ علم  عند  الله,1
 اشكر +ك يا  خالد,1
 ابن  مصر  مفيش  كلام  جدو  ال+ اهلي  مبرووك,1
 ال+ امارات  ال+ يوم  محللون  ال+ تصحيح  ضروره  ل+ بناء  مراكز  مالي +ه جديد +ه ال+ امارات  ب+ ال+ عربي,1
 سعدت  ب+ محادثه  صاحب  السموالملكي  ال+ امير  نواف  بن  فيصل  هنات +ه ليس  بالمدينهالرياضيهاوبنجاح  حفل  افتتاح +ها هنات +ه علي  تشريف  الم,1
 ال+ نظر  الي  وجه  ال+ ام  عباد +ه,1
 ثلاث  سنوات  و  روح +ه مع +نا معيارا  ل+ ال+ مبادء  اللهم  ارحم  محمود  عوض  و  ادخل +ه فسيح  جناه +ك,1
 لاجديد  ف+ جمهور  شبك +ه ال+ مجد  يملكون  من  ال+ وفاء  و+ ال+ ولاء  ما  تعجز  عن +ه حروف  ال+ شكر  و+ ال+ ثناء  مبادره  بادر +ه مجداويه  لا  نملك  نحو +ها,1
 ال+ صلح  خير  قوم  نتصالح  ال+ مشير,1
 ابتسم  ف+ ل+ تلك  ال+ بسمه  ال+ صغيره  اثر  كبير  في  اسعاد  قلوب  ا  ?  خرين,1
 علم  ابن +ك ال+ قران  و+ سوف  يعلم +ه ال+ قران  كل  شي  علموا  اولاد +كم علم,1
 ال+ حمد  ل+ الله  حققنا  مستهدف  حمل +ه ال  يوم  ل+ محو  ال+ اميه  شكرا  ل+ شباب  صناع  ال+ حياه  و  ل+ كل  شركاء  ال+ حمله  يا  رب  اعنا  علي,1
 مفاجاه  رد  ال+ شيخ  حازم  علي  فتوي  ب+ رهام +ي ال+ اخيره  فك  الله  اسر +ك يا  امام  يا  من  علمتناكيف  نحياكراما  س+ نحيا  كراما  ب+ اذن  الله,1
 د  عبد  ال+ منعم  ابو  ال+ فتوح  يشرف +ني و+ يسعد +ني في  اول  عيد  بعد  ال+ ثوره  ان  ابعث  ب+ تحيات +ي و+ تهنءتي  ل+ اسر  ال+ شهداء  ف+ هءلاء,1
 مصطفي  حسني,1
 يا  من  اذا  قلت  ي  مولي +ي لبان +ي يا  واحدا  مال +ه ف  ملك +ه ثاني  اعصي  و+ تستر +ني انسي  و+ تذكر +ني ف+ كيف  انسي +ك ي  من  لست  تنسا +ني لا  اله  الا  انت,1
 تقول  صلي  ع  ال+ نبي  و  اجدع +ها خناق +ه تنفض,1
 ب+ اسم  يوسف  ال+ برنامج,1
 الله  يبركلك  يا  دكتور  ابو  ال+ فتوح,1
 في  جن +ه ال+ خلد  يا  بطل  ال+ عبور  في  جن +ه ال+ خلد  يا  شاذلي  في  قلوب +نا س+ تبقي,1
 احمد  الله  ال+ علي  ال+ قدير  علي  ما  شاء  و+ قدر  و+ اشكر +ه سبحان +ه شكرا  جزيلا  علي  تقدير +ه نجاه +ي,1
 مستمتع  ب+ اداره  حوار  ال+ شباب  ال+ مصري  مع  مجموع +ه ال+ حكماء  في  دار  ال+ اوبرا,1
 انزلوا  في  مجطات  ال+ مترو  و+ ال+ شوارع  في  المانيا  و  امريكا  و  فرنسا  ناس  ملتحين  بيوزعوا  مصاحف  و+ ناس  بتدعوا  ل+ ال+ اسلام  في  ال+ شارع  ماحدش  بيكلمهم,1
 زبيده  ثروت  مزز  ما  قبل  ال+ بلاستيك,1
 انتهيت  من  اداء  ال+ عمره  ف+ ان +ه منظر  عظيم  ان  تجد  ال+ ملايين  يستغيث  ون  ب+ الله  تعالي  يا  رب  انصرنا  و  احفظ  بلاد +نا و  افتح,1
 ال+ بابا  شنوده  ال+ ثالث  كان  وطنيا  مخلصا  و+ مصريا  عظيما  رحم +ه الله,1
 انا  ب+ حب  اخويا,1
 اري  ان  ال+ نظام  ال+ مختلط  بين  ال+ نظام  ال+ برلماني  و+ ال+ نظام  ال+ رءاسي  هو  ال+ انسب  ل +نا هذه  ال+ فتره  التي  تتوزع  في +ه ال+ سلطه,1
 تحي +ه ل+ قضي +ه مصر  ال+ اجلاء  ل+ دفاع +هم عن  حقوق  ال+ شعب  ال+ مصري  و+ حريات +ه و+ تمسك +هم ب+ مبدا  استقلال  ال+ قضاء,1
 تواجد +ي خارج  ال+ مملكه  منع +ني مشاركه +هم في  تجهيز  التيفو  و+ اعرف  حجم  ال+ تعب  وا  ?  رهاق  ال+ لي  يعانوا +ه حاليا  و+ يارب  ?  تضيع  ل +هم تعب  الالتراس,1
 شكرا,1
 ما  هي  افضل  وظيفه  في  ال+ حياه  مدير  شرك +ه رءيس  مءسس +ه لا  و+ الله  افضل  وظيفه  في  ال+ حياه  ان  رب +نا يشغل +ك عند +ه تدل  ال+ ناس  علي  ال+ خير,1
 طبعا  لسه  متفاءل  بل  اكثر  تفاءلا  ب+ خروج  ال+ مكبوت  الي  ال+ نور  اي  جراح +ه لا  تخلو  من  الم,1
 ال+ قران  يرفع  ال+ ناس  و+ يجعل +هم في  ال+ دنيا  و+ ال+ اخره  في  اعلي  مقام,1
 لم  اهاجم +ه بل  احترم +ه و+ لو  كان  ل +ه اخطاء  ف+ هو  ب+ ال+ تاكيد  شخصي +ه تحترم,1
 اي  امراه  تصنع  ال+ حب  و+ ال+ ايثار  و+ ال+ اهتمام  و+ ال+ عطف  و+ ال+ حنان  مءهل +ه ان  تصبح  ام  مثالي +ه حتي  لو  كانت  مارلين  مونرو  ف+ يفي  عبده  ال+ ام  ال+ مثاليه,1
 س+ تظل  ذكري  استشهاد  ال+ بطل  عبد  ال+ منعم  رياض  تخليدا  ل+ ملحمه  مضيء +ه من  انصع  صفحات  ال+ تاريخ  ال+ مصري  و+ رمزا  ل+ بطولات  معركه  ال+ استنزاف  تحي +ه ل +ه في  ذكري +ه,1
 كورسيرا  اكبر  موقع  عالمي  يحتوي  علي  مناهج  جامعات  عالمي +ه هي  ال+ افضل  في  تصنيف  نتعاون  مع +هم ل+ تعريب  ال+ مناهج  شاركوا +نا,1
 ال+ لي  يشوف +ك يتمني  يكون  مثل +ك و+ ال+ لي  يعرف +ك يحترم +ك و+ يحبك  و+ ال+ لي  يسمع  عن +ك يتمني  يقابل +ك حاول,1
 ل+ ال+ شموخ  عنوان  ال+ سادات,1
 ال+ دكتور  عبد  ال+ منعم  ان  لحم  كتاف +نا من  خير  ابنا  مصر  ال+ بسطاء  في  ال+ احياء  ال+ فقيره  و  علي  ضفوف  ال+ ترع,1
 و+ رضيت  اعيشلك  انت  يا  حبيبي  كفايه  ان  انت  حبيبي  عمرو  دياب,1
 عايش  معي +ك ايام  مفيش  في  جمال +ها زي  ال+ ملاك  دي  اقل  كلم +ه ب+ قول +ها ب+ حب +ك عمرو  دياب,1
 اذا  اهم +ك امر  غير +ك ف+ اعلم  ب+ ان +ك ذو  طبع  اصيل,1
 ال+ رجوع  ل+ ال+ حق  فضيل +ه حمد  الله  علي  سلامه  احمد  ال+ سيد  ال+ نجار,1
 حكيك  يخلق  من  ال+ عدم  فرح +ه م,1
 اسماء  شهداء  ال+ ثوره  ال+ مجد  ل+ ال+ شهداء  ريتويت  كتير  جدا  بقي,1
 ب+ صرف  ال+ نظر  عن  شغل +ها و+ لا  اي  حاج +ه تاني +ه ب+ حب  في  ف+ يفي  عبده  ان  ال+ لي  في  قلب +ها علي  لسان +ها ملهاش  في  ال+ نفاق  زي  معظم  ال+ وسط  ال+ فني,1
 قرار  رءيس  ال+ جمهوريه  ب+ عود +ه ال+ برلمان  ل+ ال+ انعقاد  صحيح  و  ال+ تنفيذ  ال+ صحيح  ل+ حكم  ال+ محكمه  ال+ دستوريه  يكون  في  ال+ انتخابات  ال+ قادمه,1
 انت  من  استلذ  ب+ احلام +ي بك  و+ استطعم  ال+ حب  ب+ حضور +ك مقتبس  من  تصميمي  ميس +ي,1
 تاكدوا  ان  التزام  ال+ رءيس  ب+ ال+ قانون  و+ ال+ حفاظ  علي  استقلال  ال+ قضاء  و+ تدعيم +ه هو  في  مصلح +ه ال+ شعب  قبل  اي  طرف  اخر,1
 و+ حيات  عيني +ك اخذ  صوت  اخذ  وجه  حسن  و+ طرب  اصييل  مصر  ال+ جيزه  ال+ قاهره  شادي +ه ال+ اهرامات  اسيوط,1
 كان  محمد  يسري  سلامه  صاحب  رساله  كافح  من  اجل +ها طيله  حياه +ه و+ ل+ ذلك  ف+ حتي  موت +ه كان  ب+ مثاب +ه رساله,1
 عامل  كهرباءي  يستغل  وقت  فراغ +ه في  عشر  ذي  ال+ حجه  في  قراء +ه ال+ قران  كتب  الله  اجر +ه و+ غفر  ذنب +ه عشر  ذي  ال+ حجه,1
 والد  جيكا  هو  ال+ لي  كان  داخل  مع  حمدرين  يوم  تسليم  ال+ توكيلات  واحد  مننا,1
 تحيات +ي يا  بلد,1
 في  يوم  ال+ ارض  ال+ مجد  كل  ال+ مجد  ل+ من  يقاوم  بامعاءهه  ال+ خاويه  سامر  العيساوي,1
 كان  صلي  الله  علي +ه و+ سلم  يحب  ال+ طيب  و+ ال+ راءحه  ال+ حسنه  و+ كان  لا  يسلك  طريقا  ف+ يتبع +ه احد  الا +لا عرف  ان +ه قد  سلك +ه من  طيب  عرف +ه نشر  سيره +ه,1
 ال+ مصريين  احرار,1
 هه  الله  يرحم +ك ي  عم +نا ج  ?  ل  عامر,1
 سعيد  جدا  ب+ زيار +ه ال+ جزاءر  بلد  جميل +ه فعلا,1
 ال+ مصري  احسن  واحد  تزنق +ه في  ال+ وقت  يشتغل  اه  و+ الله,1
 هي  انسان +ه راءع +ه,1
 ال+ رمز  ال+ انتخابي  لل  السيسي  السيسي  رءيسي,1
 ننعي  الي  ال+ انسانيه  رمزا  متالقا  ل+ ال+ نضال  في  سبيل  ال+ حريه  و+ ال+ نهضه  و+ ال+ كرامه  ال+ انسانيه  القاءدوالمجاهدوالمفكر  ال+ عربي  احمد  بن  بيللا  زعيم  ثور +ه ال+ جزاءر,1
 انتم  اسياد  ال+ نصاري  ب+ اخلاق +كم كنتم  خير  ام +ه اخرجت  ل+ ال+ ناس,1
 احببت  في +ك هذا  ال+ ضني  ال+ ناطق  ال+ معبر  ان +ها ال+ انسانيه  كل +ها في  قلب  رجل  مصطفي  محمود  ضي,1
 ا+ ليس  ال+ حب  هو  ان  انظر  الي  وجه +ك ال+ جميل  ف+ اشعر  ان +ي امتلكت  كل  الدنياو  انت  كل  دنيا +ي كلام  في  ال+ حب  مصر  ال+ امارات  فلسطين  ال+ بحرين  ال+ سعوديه,1
 شبرا  ال+ عظيمه  دوماكل  يناير  و+ اح +نا هنا,1
 اصرار  ال+ شعب  ال+ تونسي  علي  ال+ وصول  الي  ال+ كيلومتر  ال+ اخير  ثور +ه اخري  في  حد  ذات +ه و+ اهم  درس  من  بين  دروس  كثير +ه,1
 تفاءلي  نابع  من  ايمان +ي ب+ ان  الله  لا  يضيع  اجر  من  احسن  عملا  و+ لا  يوجد  احسن  و+ اعظم  عملا  من  ان  يضحي  ال+ شعب  ب+ @@بدماءه@@ +ه من  اجل  ال+ حفاظ  علي  وطن +ه و+ عرض +ه,1
 اصرار  ال+ شعب  ال+ تونسي  علي  ال+ وصول  الي  ال+ كيلومتر  ال+ اخير  ثور +ه اخري  في  حد  ذات +ه و+ اهم  درس  من  بين  دروس  كثير +ه,1
 نسال  الله  ان  يحفظ  شيخ +نا من  كل  مكرو +ه و+ يمن  علي +ه ال+ صحه  و+ ال+ عافيه  سلامه +ك يا  خليفه,1
 تسلم  ل +ي عيون +ك يا  احلي  شيرين  روح +ي شيرين  محمد  ال+ عراقي  ال+ جريح,1
 حزب  ال+ وسط  ال+ ان  يتقدم  مسير +ه هاءله  الي  محكم +ه دمياط  ل+ تقديم  اوراق +ه ل+ ال+ انتخابات  البرلمانيهسعيد  جدا  ب+ ثقه +كم,1
 انا  كتبت  النهارده  في  ال+ معصره  اشهد  ل +ك ب+ ال+ فضل  انت  و+ ال+ شباب  ال+ لي  معي +ك في  نزولي  يوم  خمس +ه وعشرينشكرا  ياخالد  ياجميل,1
 ال+ ثوره  ال+ مصريه  وحدت  ال+ مصريين  في  نسيج  واحد  تكاتف  ال+ مصريون  جميعا  ل+ اسقاط  ال+ نظام  و+ حموا  بعض +هم بعض  في  ظل  غياب  امني  كامل,1
 ال+ انقلاب  يريد  قمع  مليون  مصري  لو  حاولت  امريكا  ب+ جبروت +ها قمع +هم ما  نجحت  شعب  مصر  ال+ عظيم  س+ ينتصر  و+ يدفع  ال+ عالم  ل+ احترام +ه,1
 شكرا  ل+ كل  من  شارك  في  ال+ برنامج  انتم  شركاء  في  هذه  ال+ فرحه  احسن  فريق  اعداد  و  اخراج  و  انتاج  و  كتاب +ه فخور  ب+ شغل +ي معي +كم,1
 مرسي  الذي  في  خاطري  و  في  دم +ي احب +ه من  كل  روح +ي و  دم +ي,1
 شباب  ال+ حمله  ناشط  في  كل  محافظ +ه من  اجل  مصر  ال+ مستقبل  بارك  الله  في +كم معا  س+ نغير,1
 في  يوم  عيد  ال+ عمال  كل  ال+ وزراء  و+ ال+ مدراء  و+ ال+ موظفين  و+ غير +هم مجاز  الا +لا ال+ عمال  قبل +ه حب  علي  جبين +كم,1
 افرق  في  حديث +ي ب+ شكل  واضح  بين  مءسس +ه ال+ جيش  التي  نعتز  ب +ها ف+ هو  جيش  مهني  و+ وطني  و+ بين  دور  ال+ مجلس  ال+ عسكري  ب+ اعتبار +ه متولي,1
 من  اقوال  شيخ  ال+ معلقين  محمد  رمضان  ماجد  عبدالله  ل+ ابد  ان  تكون  هناك  قناه  رياضيه  متخصص +ه لنجوميته  و+ ابداع +ه تقديرا  ل+ تاريخ +ه ال+ مجيد  ل+ وطن +ه و+ ل+ نوادي +ه,1
 صباح  ال+ خير  عليكي  يا  مصر  يا  حلو +ه و  ل+ ابس +ه جديد  ان  شاء  الله  هيكون  احسن  يوم  في  ال+ لي  فات  و  كل  ال+ لي  جاي  احلي,1
 جامع +ه هلسنكي  فينلندا  تختار  ال+ ساده  ال+ محترمون  ب+ فريق  عمل +ه كاملا  ال+ برنامج  الاكثرمصداقيه  و+ حرفيه  في  مصر  و+ تم  ادراج  بحث  عن +ه في  دوريه +ها فلسطين,1
 مصر  ال+ يوم  حره  بارك  الله  في  شعب  مصر,1
 الله  اكبر  الله  اكبرالله  اكبر  لا  اله  الا  الله  تكبيرات  ال+ عيد  تبعث  في  ال+ وجدان  طاق +ه ايماني +ه عظيم +ه كل  عام  و+ انتم  ب+ خير,1
 ل+ الله  ال+ حمد  تجوزنا  محب  و  متابع  ل+ صفح +ه ال+ اقصي  متي  نصل  ل  الاف  محب  و+ متابع  تغريدات  ال+ دكتور  عوض  ال+ قرني,1
 استفدت  كتيير  اوي  من  حلق +ه انهرده  معلومات  اول  مر +ه اسمع +ها بارك  الله  في +ك مصطفي  حسني  علي  طريق  الله  روح  ال+ عباده,1
 ال+ اسلام  ام  مصر  يزداد  احترامي  ل +ك مءخرا  كلما  تكلمت  مع  ان +ي س+ ارشح  ال+ برادعي,1
 كرستيانو  رونالدو  يفصل +ه هدف  ل+ يصبح  ال+ هداف  ال+ تاريخي  ال+ اول  في  ريال  مدريد  اسطوره,1
 شاهد  ف+ يفي  عبده  راقص +ه س+ يذكر +ها ال+ تاريخ  ال+ حكم,1
